,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,NV,58223,55845,56378,49011,52722,56762,58882,56602,57457,54563
40,Units in Structure: 1 DETACHED,NV,688294,686328,696588,706859,709211,714256,727062,749855,756031,762812
41,Units in Structure: 10-19,NV,72849,67848,70479,70464,65955,69018,70533,62385,69141,71777
42,Units in Structure: 2,NV,16397,14997,16112,14081,16417,16056,15783,14674,18280,18554
43,Units in Structure: 20-49,NV,31564,36667,40614,32098,32929,35653,38891,37231,37898,38538
44,Units in Structure: 3-4,NV,72242,76128,70202,74973,76409,73461,75281,80171,82589,88436
45,Units in Structure: 5-9,NV,106538,108768,96671,110480,102378,105813,91505,108726,97930,95335
46,Units in Structure: 50+,NV,53113,63465,66529,63785,75267,71958,77541,74979,82799,84215
47,"Units in Structure: Boat,RV,Van,Etc.",NV,1628,866,806,1423,1140,1766,1557,1873,1517,2085
48,Units in Structure: Mobile Home,NV,74222,73005,68463,63762,66541,65121,64724,63237,65075,69366
