,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,MT,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.5
26,Number of Rooms: 1,MT,12382,11596,13985,14831,12128,14503,16182,19275,14183,14722
27,Number of Rooms: 2,MT,15163,19277,15454,17913,16525,15084,16423,18286,18437,18660
28,Number of Rooms: 3,MT,43155,41750,43591,41051,43672,43589,47673,46975,42384,45959
29,Number of Rooms: 4,MT,84719,87304,85992,86556,87859,88784,85088,83836,83126,84977
30,Number of Rooms: 5,MT,98985,98213,96897,94159,98461,97059,94004,91283,92647,97455
31,Number of Rooms: 6,MT,78966,77081,76149,72308,74992,75107,72961,77998,83497,77872
32,Number of Rooms: 7,MT,54172,52826,52034,52984,55270,53851,53470,60299,59030,58601
33,Number of Rooms: 8,MT,37795,41041,39467,45282,39329,43651,42137,43394,46941,45217
34,Number of Rooms: 9+,MT,57669,60095,62592,60683,63279,62594,69811,69062,74916,76475
