Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,MI,5281,5850,6119,6179,7075,8052,8688,8780,8598,9555,8804
,Statewide Total,Cooperative,MI,0,36,36,21,37,18,19,12,12,24,13
,Statewide Total,Privately Owned,MI,0,0,0,0,13,5,7,7,6,6,4
,Statewide Total,Investor Owned,MI,5281,5814,6083,6158,7025,8029,8662,8761,8580,9525,8787
,Statewide Total,Municipal Owned,MI,0,0,0,0,0,0,0,0,0,0,0
39602,UPPER MICHIGAN ENERGY RESOURCES CORP.,Investor Owned,MI,0,0,0,0,0,0,0,17,16,5,8
31342,"SUPERIOR ENERGY CO, LLC",Privately Owned,MI,0,0,0,0,13,5,7,7,6,6,4
18472,SEMCO ENERGY GAS COMPANY,Investor Owned,MI,612,668,595,569,652,659,568,591,568,632,660
15845,PRESQUE ISLE ELECTRIC & GAS COOPERATIVE,Cooperative,MI,0,36,36,21,37,18,19,12,12,24,13
12420,MICHIGAN GAS UTILITIES CO,Investor Owned,MI,148,210,319,310,316,349,349,394,347,317,198
12408,DTE GAS COMPANY,Investor Owned,MI,789,1156,1269,1213,886,1698,2319,2444,2692,2577,2490
2748,CONSUMERS ENERGY CO,Investor Owned,MI,3717,3764,3859,4045,5147,5305,5411,5296,4924,5965,5405
2408,CITIZENS GAS FUEL CO,Investor Owned,MI,15,16,41,21,24,18,15,19,27,21,17
885,AURORA GAS CO,Investor Owned,MI,0,0,0,0,0,0,0,0,6,8,9
