Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MI,3338905,41160,15444,41407,234745,403764,508129,383555,608939,460798,565839,75125
Statewide Total,,Cooperative,MI,10513,0,0,0,0,0,0,0,5012,4044,1312,145
Statewide Total,,Privately Owned,MI,3773,0,0,0,0,0,0,0,327,1663,1731,52
Statewide Total,,Investor Owned,MI,3324619,41160,15444,41407,234745,403764,508129,383555,603600,455091,562796,74928
Statewide Total,,Municipal Owned,MI,0,0,0,0,0,0,0,0,0,0,0,0
UPPER MICHIGAN ENERGY RESOURCES CORP.,39602,Investor Owned,MI,5059,0,0,0,5,588,2163,546,472,379,783,123
AMERIGAS PROPANE LP,32013,Privately Owned,MI,965,0,0,0,0,0,0,0,0,185,780,0
"SUPERIOR ENERGY CO, LLC",31342,Privately Owned,MI,2808,0,0,0,0,0,0,0,327,1478,951,52
WISCONSIN GAS LLC DBA WE ENERGIES,22763,Investor Owned,MI,0,0,0,0,0,0,0,0,0,0,0,0
SEMCO ENERGY GAS COMPANY,18472,Investor Owned,MI,298115,1567,230,129,2302,20451,31104,45269,75748,61505,54858,4952
PRESQUE ISLE ELECTRIC & GAS COOPERATIVE,15845,Cooperative,MI,10513,0,0,0,0,0,0,0,5012,4044,1312,145
NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,MI,6569,2697,1,0,0,908,772,466,7,46,1672,0
MICHIGAN GAS UTILITIES CO,12420,Investor Owned,MI,175964,0,0,0,0,29154,30870,27376,39241,28218,18890,2215
DTE GAS COMPANY,12408,Investor Owned,MI,1223698,20737,12072,29931,110479,116055,168811,114163,195794,148005,262558,45093
CONSUMERS ENERGY CO,2748,Investor Owned,MI,1595420,16159,3141,11347,121841,234391,269317,193296,286855,213808,222832,22433
CITIZENS GAS FUEL CO,2408,Investor Owned,MI,16462,0,0,0,118,2217,5092,1850,3921,2234,936,94
AURORA GAS CO,885,Investor Owned,MI,3332,0,0,0,0,0,0,589,1562,896,267,18
