Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MN,1593241,181879,165,780,8926,46654,140397,228102,332348,348576,282101,23313
Statewide Total,,Cooperative,MN,1574,0,0,0,0,0,0,0,0,0,1400,174
Statewide Total,,Privately Owned,MN,12297,0,0,0,0,762,250,76,3114,893,6345,857
Statewide Total,,Investor Owned,MN,1493384,177344,113,563,8540,39624,130744,210659,305744,335113,263776,21164
Statewide Total,,Municipal Owned,MN,85986,4535,52,217,386,6268,9403,17367,23490,12570,10580,1118
PAUL BUNYAN NATURAL GAS,40091,Privately Owned,MN,303,0,0,0,0,0,0,0,0,0,0,303
AGRINATURAL GAS,40022,Privately Owned,MN,962,0,0,0,0,0,0,0,0,0,947,15
LAKE REGION ENERGY SERVICES INC,39611,Privately Owned,MN,798,0,0,0,0,0,0,0,0,0,646,152
COMMUNITY CO-OPS OF LAKE PARK,39314,Cooperative,MN,1029,0,0,0,0,0,0,0,0,0,865,164
BATTLE LAKE NATURAL GAS,39199,Municipal Owned,MN,466,0,0,0,0,0,0,0,0,0,453,13
DOOLEY'S NATURAL GAS II LLC,39198,Privately Owned,MN,546,0,0,0,0,0,0,0,0,0,539,7
UNITED NATURAL GAS-NW GAS CONTRACTED,39168,Cooperative,MN,545,0,0,0,0,0,0,0,0,0,535,10
BROWNTON MUNICIPAL NATURAL GAS,39008,Municipal Owned,MN,273,0,0,0,0,0,0,0,0,0,272,1
"Dooley’s Natural Gas, LLC",32687,Privately Owned,MN,1393,0,0,0,0,0,0,0,0,0,1382,11
"GREATER MINNESOTA TRANSMISSION, LLC",32315,Investor Owned,MN,0,0,0,0,0,0,0,0,0,0,0,0
MINNESOTA ENERGY RESOURCES CORPORATION,32198,Investor Owned,MN,232034,137864,0,0,275,417,1653,1851,4194,44240,37316,4224
NORTHWEST NATURAL GAS OF MURRAY COUNTY LLC,31907,Privately Owned,MN,1691,0,0,0,0,0,0,0,702,288,663,38
NORTHWEST NATURAL GAS LLC,31906,Privately Owned,MN,2124,0,0,0,0,17,0,0,1408,369,313,17
NORTHERN STATES POWER CO OF MINNESOTA,31636,Investor Owned,MN,447561,36917,71,18,1391,7905,21429,70994,132675,109326,65742,1093
CITY OF HENNING,31433,Municipal Owned,MN,510,0,0,0,0,0,0,0,367,52,84,7
"FAIRFAX, CITY OF",31349,Municipal Owned,MN,807,0,0,0,0,0,0,0,489,156,155,7
NORTHWEST GAS,31292,Privately Owned,MN,2420,0,0,0,0,0,0,0,337,59,1720,304
"TYLER, CITY OF",31222,Municipal Owned,MN,561,0,0,0,0,0,0,0,464,52,42,3
"BAGLEY NATURAL GAS, CITY OF",31099,Municipal Owned,MN,618,0,0,0,0,0,0,0,338,138,132,10
"CLEARBROOK MUNICIPAL GAS, CITY OF",31098,Municipal Owned,MN,235,0,0,0,0,0,0,0,164,40,31,0
CITY OF FOSSTON MUNICIPAL GAS,31093,Municipal Owned,MN,668,0,0,0,0,0,0,0,382,136,143,7
CITIES OF CLARISSA AND EAGLE BEND,31071,Municipal Owned,MN,586,0,0,0,0,0,0,0,467,91,28,0
"MORGAN, CITY OF",31070,Municipal Owned,MN,358,0,0,0,0,0,0,0,268,32,58,0
"COHASSET, CITY OF",31014,Municipal Owned,MN,1373,0,0,0,0,0,0,0,555,166,611,41
GREATER MINNESOTA GAS INC.,30967,Investor Owned,MN,9528,0,0,0,2,0,0,0,1268,2623,5212,423
"GOODHUE MUNICIPAL GAS, CITY OF",30961,Municipal Owned,MN,493,0,0,0,0,0,0,0,324,134,30,5
"RANDALL, CITY OF",30893,Municipal Owned,MN,302,0,0,0,0,0,0,0,211,76,14,1
"ROUND LAKE, CITY OF",30566,Municipal Owned,MN,235,0,0,0,0,0,0,0,222,4,9,0
"WARREN GAS DEPT, CITY OF",22168,Municipal Owned,MN,868,51,0,0,0,362,56,46,191,60,95,7
"VIRGINIA DEPT OF PUBLIC UTILITY, CITY OF",21340,Municipal Owned,MN,3158,134,0,0,0,0,106,240,703,1018,805,152
"STEPHEN, CITY OF",18636,Municipal Owned,MN,333,0,0,0,0,189,55,36,20,13,20,0
SHEEHAN GAS CO INC,18249,Privately Owned,MN,1228,0,0,0,0,200,250,76,521,92,83,6
PERHAM MUNICIPAL GAS SYSTEM,15371,Municipal Owned,MN,3641,674,0,0,0,0,0,0,1597,462,768,140
OWATONNA PUBLIC UTILITIES,14410,Municipal Owned,MN,9824,69,0,0,14,387,1218,1338,4160,1713,761,164
NEW YORK MILLS MUNICIPAL GAS SYSTEM,13410,Municipal Owned,MN,594,0,0,0,0,142,137,83,90,104,32,6
NEW ULM PUBLIC UTILITIES COMMISSION,13400,Municipal Owned,MN,5794,0,0,0,0,901,1120,1347,1510,671,222,23
TWO HARBORS CITY MUNICIPAL GAS DEPT,12903,Municipal Owned,MN,1768,0,0,0,0,0,0,995,505,200,68,0
"CENTERPOINT ENERGY RESOURCES CORP., DBA CENTERPOINT ENERGY MINNESOTA GAS",12350,Investor Owned,MN,781161,0,42,539,6774,29700,104539,134496,164226,176769,149340,14736
LAKE PARK PUBLIC UTILITIES,11128,Municipal Owned,MN,371,0,0,0,0,224,0,0,40,67,34,6
HUTCHINSON UTILITIES COMMISSION,7695,Municipal Owned,MN,5629,3403,0,0,0,0,0,0,789,887,499,51
HIBBING PUBLIC UTILITIES COMM,7250,Municipal Owned,MN,4236,0,52,127,64,1429,438,59,792,594,563,118
HAWLEY UTILITIES COMM,7180,Municipal Owned,MN,798,0,0,0,0,366,49,20,97,114,144,8
"HALLOCK GAS DEPT, VILLAGE OF",7020,Municipal Owned,MN,532,0,0,0,0,328,15,22,90,28,44,5
GREAT PLAINS NATURAL GAS CO,6690,Investor Owned,MN,23100,2563,0,6,98,1602,3123,3318,3381,2155,6166,688
CITY OF DULUTH PUBLIC WORKS & UTILITIES,3590,Municipal Owned,MN,26912,13,0,0,0,15,5359,11125,4682,2895,2636,187
CIRCLE PINES UTILITY,2368,Municipal Owned,MN,3007,0,0,0,0,125,170,766,670,408,740,128
AUSTIN UTILITIES,918,Municipal Owned,MN,10304,191,0,90,308,1609,680,1283,2823,2249,1053,18
COMMUNITY UTILITIES CO.,888,Privately Owned,MN,832,0,0,0,0,545,0,0,146,85,52,4
WESTBROOK PUBLIC UTILITIES,883,Municipal Owned,MN,449,0,0,0,0,0,0,0,440,0,8,1
ARGYLE MUNICIPAL GAS SYSTEM,585,Municipal Owned,MN,283,0,0,0,0,191,0,7,40,10,26,9
