,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,MN,33647.47899999999,23.64,3804,3072.0,29.0,81.0,607.0,2629.0,2747.0,3460.0,7961.0,6604.0,5918.0,533.0
1,Statewide Total,,Cooperative,MN,96.777,5.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,13.0
2,Statewide Total,,Privately Owned,MN,867.6300000000001,14.9,26,0.0,0.0,0.0,0.0,26.0,2.0,11.0,184.0,29.0,571.0,41.0
3,Statewide Total,,Investor Owned,MN,30602.728,19.833333333333332,3511,2951.0,20.0,74.0,561.0,2419.0,2564.0,3140.0,7115.0,6309.0,4986.0,458.0
4,Statewide Total,,Municipal Owned,MN,2080.3440000000005,28.21875,267,121.0,9.0,7.0,46.0,182.0,180.0,308.0,661.0,265.0,277.0,19.0
5,PAUL BUNYAN NATURAL GAS,40091,Privately Owned,MN,20.72,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72
6,AGRINATURAL GAS,40022,Privately Owned,MN,177.98,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.24,3.74
7,LAKE REGION ENERGY SERVICES INC,39611,Privately Owned,MN,68.49,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.73,8.76
8,COMMUNITY CO-OPS OF LAKE PARK,39314,Cooperative,MN,71.667,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.867,13.67
9,BATTLE LAKE NATURAL GAS,39199,Municipal Owned,MN,28.1,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.75,0.21
10,DOOLEY'S NATURAL GAS II LLC,39198,Privately Owned,MN,105.87,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.87,0.0
11,UNITED NATURAL GAS-NW GAS CONTRACTED,39168,Cooperative,MN,25.11,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11,0.0
12,BROWNTON MUNICIPAL NATURAL GAS,39008,Municipal Owned,MN,7.02,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,0.0
13,"Dooley’s Natural Gas, LLC",32687,Privately Owned,MN,97.67,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.67,0.0
14,"GREATER MINNESOTA TRANSMISSION, LLC",32315,Investor Owned,MN,262.992,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.542,17.45
15,MINNESOTA ENERGY RESOURCES CORPORATION,32198,Investor Owned,MN,5195.05,28.0,720,0.15,0.02,5.12,89.05,514.44,713.3,611.96,1321.11,1007.83,871.64,60.43
16,NORTHWEST NATURAL GAS OF MURRAY COUNTY LLC,31907,Privately Owned,MN,74.64,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1,5.0,2.22,0.32
17,NORTHWEST NATURAL GAS LLC,31906,Privately Owned,MN,88.89,24.0,1,0.0,0.0,0.0,0.0,1.81,0.0,0.0,73.7,6.93,6.25,0.2
18,NORTHERN STATES POWER CO OF MINNESOTA,31636,Investor Owned,MN,9528.8,21.0,178,2828.0,1.0,1.6,33.9,104.7,244.0,560.7,2395.5,2001.4,1242.6,115.4
19,CITY OF HENNING,31433,Municipal Owned,MN,21.8,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.1,0.2,0.0
