,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
452,ND,38033,Golden Valley,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.001123754,TON
501,ND,38081,Sargent,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.01136371,TON
502,ND,38081,Sargent,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.001092664,TON
2507,ND,38099,Walsh,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.2496546063,TON
4955,ND,38085,Sioux,Commercial Cooking,Carbon Monoxide,CAP,0.30492057,TON
5763,ND,38071,Ramsey,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,5.06683628,TON
7322,ND,38027,Eddy,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,1.8829563571,TON
7390,ND,38049,McHenry,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,1.72857747,TON
7881,ND,38025,Dunn,Commercial Cooking,Carbon Monoxide,CAP,0.41781705,TON
7997,ND,38027,Eddy,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.02946128503,TON
12424,ND,38075,Renville,Fuel Comb - Residential - Other,PM2.5 Primary (Filt + Cond),CAP,0.0158807,TON
13539,ND,38075,Renville,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.0009220636,TON
14916,ND,38099,Walsh,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,2.745469,TON
16454,ND,38089,Stark,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,0.211258156,TON
16780,ND,38089,Stark,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.0071314130000000005,TON
18128,ND,38065,Oliver,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0007381531,TON
20252,ND,38051,McIntosh,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,0.305858,TON
21353,ND,38101,Ward,Fuel Comb - Residential - Other,Volatile Organic Compounds,CAP,0.7175058000000001,TON
31378,ND,38103,Wells,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.009931804,TON
32483,ND,38055,McLean,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.0196533,TON
33252,ND,38091,Steele,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.001215502,TON
33952,ND,38093,Stutsman,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,2.777089,TON
35761,ND,38009,Bottineau,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.018993,TON
36516,ND,38063,Nelson,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.09043819,TON
36526,ND,38019,Cavalier,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.3014115961,TON
36797,ND,38035,Grand Forks,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.06130869,TON
