,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,WV,Tenure,OWNER,535880.0,69233.55,1537.69,512.12,99.79,3.1
2,WV,Tenure,RENTER,198796.0,33562.76,1187.15,299.73,39.74,4.55
3,WV,Year Built,1940-59,133955.747,52222.47,1303.79,591.1,74.68,3.7699999999999996
4,WV,Year Built,1960-79,189871.289,54483.73,1421.19,400.86,95.8,3.52
5,WV,Year Built,1980-99,192561.474,62498.0,1570.93,336.31,76.93,3.17
6,WV,Year Built,2000-09,89550.346,78447.99,1626.11,386.81,55.33,2.64
7,WV,Year Built,2010+,20500.573,78869.79,1362.66,233.38,23.91,2.0500000000000003
8,WV,Year Built,BEFORE 1940,108236.571,53179.76,1288.57,688.68,119.37,3.94
9,WV,Building Type,1 ATTACHED,16954.466,62405.36,1160.33,240.52,37.7,2.31
10,WV,Building Type,1 DETACHED,538247.121,68303.57,1506.86,550.12,95.85,3.15
11,WV,Building Type,MOBILE_TRAILER,101122.881,37515.02,1658.22,239.79,85.58,5.29
12,WV,Building Type,10-19 UNIT,11663.103,30499.42,758.17,42.05,1.64,2.63
13,WV,Building Type,2 UNIT,12134.299,26600.27,802.96,282.75,7.2,4.109999999999999
14,WV,Building Type,3-4 UNIT,17820.448,28537.26,856.94,172.83,8.63,3.64
15,WV,Building Type,5-9 UNIT,18981.9,30580.78,833.08,109.74,7.2,3.11
16,WV,Building Type,BOAT_RV_VAN,345.309,25115.71,941.62,306.89,100.42,5.37
17,WV,Building Type,50+ UNIT,10026.936,19769.88,638.9,19.42,1.72,3.34
18,WV,Building Type,20-49 UNIT,7379.537,24759.93,704.23,27.84,5.07,2.98
19,WV,Heating Fuel,BOTTLED GAS,35456.0,61757.71,1207.55,1660.68,139.28,4.87
20,WV,Heating Fuel,ELECTRICITY,324349.0,57680.12,1823.01,102.12,34.45,3.4000000000000004
21,WV,Heating Fuel,OTHER,4201.0,42082.79,1099.18,158.31,435.88,4.02
22,WV,Heating Fuel,SOLAR,134.0,52892.85,611.29,529.77,49.94,2.25
23,WV,Heating Fuel,UTILITY GAS,299822.0,63908.86,1100.28,767.06,21.19,2.96
24,WV,Heating Fuel,WOOD,44275.0,50821.47,1329.41,183.16,319.51,3.5999999999999996
25,WV,Heating Fuel,COAL,3969.0,41643.06,1503.75,106.7,634.66,5.390000000000001
26,WV,Heating Fuel,NONE,1677.0,41263.53,780.57,33.48,89.53,2.19
27,WV,Heating Fuel,FUEL OIL,20793.0,50261.49,1211.42,130.14,974.03,4.61
28,WV,Percent of FPL,0-100%,118380.37,9612.93,1381.32,346.88,76.06,18.77
29,WV,Percent of FPL,100-150%,81059.223,20826.32,1354.73,395.19,86.4,8.82
30,WV,Percent of FPL,150-200%,79781.308,29723.84,1376.0,424.64,83.26,6.34
31,WV,Percent of FPL,200-400%,235508.045,51966.33,1449.43,468.1,93.59,3.8699999999999997
32,WV,Percent of FPL,400%+,219947.054,119742.34,1525.62,531.03,75.85,1.78
