,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,RI,Tenure,OWNER,247565.0,109157.87,1739.38,943.3,1023.33,3.4000000000000004
2,RI,Tenure,RENTER,163320.0,44496.81,1027.74,689.71,165.46,4.2299999999999995
3,RI,Year Built,1940-59,82657.835,77588.92,1407.46,799.18,886.72,3.9899999999999998
4,RI,Year Built,1960-79,99372.505,76494.23,1474.26,679.09,728.6,3.7699999999999996
5,RI,Year Built,1980-99,78719.129,100152.58,1578.69,797.21,642.24,3.01
6,RI,Year Built,2000-09,23862.726,112844.42,1783.12,786.05,791.8,2.98
7,RI,Year Built,2010+,5164.539,125240.75,1601.25,1059.65,308.94,2.37
8,RI,Year Built,BEFORE 1940,121108.266,74748.18,1325.51,1037.46,525.31,3.8600000000000003
9,RI,Building Type,1 ATTACHED,14144.406,78946.61,1342.16,941.32,255.29,3.2199999999999998
10,RI,Building Type,1 DETACHED,233054.525,109216.18,1786.9,912.65,1082.16,3.46
11,RI,Building Type,MOBILE_TRAILER,2820.765,47752.42,1112.39,757.45,655.6,5.29
12,RI,Building Type,10-19 UNIT,15310.408,42011.85,734.86,270.13,4.18,2.4
13,RI,Building Type,2 UNIT,44369.722,57152.43,1235.17,1018.82,376.32,4.6
14,RI,Building Type,3-4 UNIT,48067.317,48326.73,1157.25,1059.72,110.86,4.82
15,RI,Building Type,5-9 UNIT,19777.946,43023.34,947.26,580.23,26.42,3.61
16,RI,Building Type,BOAT_RV_VAN,223.867,21630.58,472.49,40.93,65.96,2.68
17,RI,Building Type,50+ UNIT,21845.875,38735.0,586.95,167.45,2.08,1.95
18,RI,Building Type,20-49 UNIT,11270.17,33918.17,581.26,231.04,2.58,2.4
19,RI,Heating Fuel,BOTTLED GAS,11935.0,97655.77,1444.27,1767.82,252.66,3.55
20,RI,Heating Fuel,ELECTRICITY,42130.0,50884.82,1433.38,174.05,78.8,3.3099999999999996
21,RI,Heating Fuel,OTHER,2692.0,100026.99,1526.1,502.15,1492.37,3.52
22,RI,Heating Fuel,SOLAR,96.0,82711.43,1056.79,202.1,0.0,1.52
23,RI,Heating Fuel,UTILITY GAS,220693.0,80669.02,1340.11,1308.87,64.23,3.36
24,RI,Heating Fuel,WOOD,6298.0,96774.97,1924.06,276.67,1468.71,3.7900000000000005
25,RI,Heating Fuel,COAL,295.0,79411.84,1620.48,83.67,1807.9,4.42
26,RI,Heating Fuel,NONE,1286.0,29935.78,539.81,91.03,34.25,2.22
27,RI,Heating Fuel,FUEL OIL,125460.0,97480.27,1654.59,204.26,1960.84,3.92
28,RI,Percent of FPL,0-100%,50101.295,9191.42,1031.27,687.53,230.94,21.21
29,RI,Percent of FPL,100-150%,32604.95,19560.85,1055.11,679.42,330.3,10.56
30,RI,Percent of FPL,150-200%,32182.284,29751.34,1210.35,799.38,494.22,8.42
31,RI,Percent of FPL,200-400%,107971.761,53553.4,1439.88,884.35,665.19,5.58
32,RI,Percent of FPL,400%+,188024.71,140688.34,1691.13,895.43,905.72,2.48
