,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,OR,Tenure,OWNER,985523.0,96523.24,1383.89,457.07,126.48,2.04
2,OR,Tenure,RENTER,606312.0,47782.34,1071.38,162.13,41.89,2.67
3,OR,Year Built,1940-59,215939.998,69490.54,1287.3,383.07,155.22,2.63
4,OR,Year Built,1960-79,462059.535,67021.96,1337.77,268.18,108.93,2.56
5,OR,Year Built,1980-99,444989.55,79502.99,1275.78,317.6,60.74,2.08
6,OR,Year Built,2000-09,226686.414,94875.19,1202.61,420.28,43.85,1.76
7,OR,Year Built,2010+,62006.798,96274.8,1015.03,304.44,22.25,1.39
8,OR,Year Built,BEFORE 1940,180152.705,84752.26,1188.3,480.95,154.58,2.15
9,OR,Building Type,1 ATTACHED,75171.752,68496.67,1051.95,294.95,21.23,2.0
10,OR,Building Type,1 DETACHED,1029896.01,94004.18,1400.11,476.9,127.5,2.13
11,OR,Building Type,MOBILE_TRAILER,118732.964,47701.42,1537.2,97.43,124.8,3.6900000000000004
12,OR,Building Type,10-19 UNIT,58631.382,44841.02,833.56,36.97,1.81,1.95
13,OR,Building Type,2 UNIT,41236.827,42516.34,1032.53,160.38,16.75,2.85
14,OR,Building Type,3-4 UNIT,67614.926,41211.45,957.44,79.5,7.66,2.53
15,OR,Building Type,5-9 UNIT,68782.949,45243.16,885.06,40.41,5.47,2.06
16,OR,Building Type,BOAT_RV_VAN,4087.607,21815.27,529.3,229.85,59.61,3.75
17,OR,Building Type,50+ UNIT,78599.891,50756.44,694.13,47.13,2.21,1.46
18,OR,Building Type,20-49 UNIT,49080.692,42994.22,735.5,46.39,4.46,1.83
19,OR,Heating Fuel,BOTTLED GAS,27150.0,80233.42,1235.84,1185.39,109.71,3.15
20,OR,Heating Fuel,ELECTRICITY,803200.0,61346.54,1402.26,83.38,41.26,2.4899999999999998
21,OR,Heating Fuel,OTHER,11830.0,63583.49,1252.98,108.28,485.05,2.9000000000000004
22,OR,Heating Fuel,SOLAR,1386.0,67485.66,635.63,180.89,46.04,1.28
23,OR,Heating Fuel,UTILITY GAS,605478.0,103025.27,1045.81,717.03,32.58,1.7399999999999998
24,OR,Heating Fuel,WOOD,104372.0,66608.96,1537.67,99.53,494.1,3.2
25,OR,Heating Fuel,COAL,207.0,18194.77,532.8,286.6,52.77,4.79
26,OR,Heating Fuel,NONE,6866.0,30793.5,639.66,72.61,60.93,2.5100000000000002
27,OR,Heating Fuel,FUEL OIL,31346.0,71857.31,1265.84,95.02,1161.28,3.51
28,OR,Percent of FPL,0-100%,176431.159,9584.5,1141.61,181.65,67.66,14.510000000000002
29,OR,Percent of FPL,100-150%,136097.393,21857.5,1205.96,200.12,88.62,6.84
30,OR,Percent of FPL,150-200%,140456.561,31622.32,1267.41,236.71,103.21,5.08
31,OR,Percent of FPL,200-400%,478401.96,54269.1,1289.08,305.84,104.62,3.1300000000000003
32,OR,Percent of FPL,400%+,660447.927,134798.09,1291.83,469.24,93.13,1.38
