,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,NY,Tenure,OWNER,3943356.0,121883.4,1615.11,1199.93,526.95,2.74
2,NY,Tenure,RENTER,3373181.0,62731.32,949.02,468.27,53.19,2.34
3,NY,Year Built,1940-59,1747571.914,89545.02,1310.17,868.88,374.49,2.85
4,NY,Year Built,1960-79,1674715.075,89053.38,1293.36,725.65,334.34,2.64
5,NY,Year Built,1980-99,986754.734,104155.92,1406.3,859.28,347.03,2.5100000000000002
6,NY,Year Built,2000-09,436136.152,121926.76,1383.37,971.18,247.56,2.13
7,NY,Year Built,2010+,143349.049,113283.07,1051.03,690.22,72.34,1.6
8,NY,Year Built,BEFORE 1940,2328010.076,92102.82,1276.99,948.12,250.09,2.69
9,NY,Building Type,1 ATTACHED,383437.515,102222.07,1555.69,1412.87,145.31,3.05
10,NY,Building Type,1 DETACHED,3097809.458,115409.54,1664.72,1163.14,637.3,3.0
11,NY,Building Type,MOBILE_TRAILER,138245.394,42844.66,1186.84,1119.04,514.0,6.58
12,NY,Building Type,10-19 UNIT,304971.153,69889.51,853.51,339.73,3.07,1.71
13,NY,Building Type,2 UNIT,738380.882,70973.96,1278.25,1181.11,146.75,3.6700000000000004
14,NY,Building Type,3-4 UNIT,502157.227,64066.86,1084.05,731.25,61.78,2.93
15,NY,Building Type,5-9 UNIT,372197.372,68086.58,871.56,386.9,13.49,1.87
16,NY,Building Type,BOAT_RV_VAN,2130.647,30468.21,368.53,269.35,55.05,2.27
17,NY,Building Type,50+ UNIT,1162633.634,96851.9,874.96,263.6,7.16,1.18
18,NY,Building Type,20-49 UNIT,614573.718,74354.84,913.89,354.29,4.18,1.71
19,NY,Heating Fuel,BOTTLED GAS,283653.0,86778.66,1225.22,2053.2,212.57,4.02
20,NY,Heating Fuel,ELECTRICITY,840252.0,86717.12,1217.93,238.42,36.39,1.72
21,NY,Heating Fuel,OTHER,81233.0,88891.15,914.48,278.14,303.93,1.68
22,NY,Heating Fuel,SOLAR,4953.0,102873.47,861.23,401.86,160.9,1.38
23,NY,Heating Fuel,UTILITY GAS,4286403.0,96036.27,1282.92,1141.07,26.74,2.55
24,NY,Heating Fuel,WOOD,133515.0,78371.22,1516.13,477.1,911.63,3.71
25,NY,Heating Fuel,COAL,17851.0,70183.28,1273.11,508.61,1003.78,3.9699999999999998
26,NY,Heating Fuel,NONE,76195.0,70869.51,630.07,186.99,16.66,1.18
27,NY,Heating Fuel,FUEL OIL,1592482.0,99377.82,1474.71,330.24,1183.99,3.01
28,NY,Percent of FPL,0-100%,922897.279,9271.33,969.93,564.03,116.45,17.8
29,NY,Percent of FPL,100-150%,601906.802,21060.21,996.24,630.16,179.92,8.58
30,NY,Percent of FPL,150-200%,547715.628,30632.69,1101.12,749.99,247.13,6.8500000000000005
31,NY,Percent of FPL,200-400%,1827878.687,54840.46,1274.27,884.66,302.79,4.49
32,NY,Percent of FPL,400%+,3416138.603,162165.91,1505.51,990.49,395.99,1.78
