,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,MS,Tenure,OWNER,754018.0,70645.93,2033.46,434.83,15.11,3.52
2,MS,Tenure,RENTER,351558.0,35190.52,1629.62,224.42,5.3,5.28
3,MS,Year Built,1940-59,114605.441,45812.06,1827.41,444.7,12.99,4.99
4,MS,Year Built,1960-79,335965.689,50558.56,1862.76,378.46,13.78,4.46
5,MS,Year Built,1980-99,365555.526,61038.56,1944.13,376.48,13.25,3.82
6,MS,Year Built,2000-09,192126.992,75876.95,1995.4,290.01,6.32,3.02
7,MS,Year Built,2010+,51699.743,80133.41,1743.94,243.58,5.13,2.4899999999999998
8,MS,Year Built,BEFORE 1940,45622.608,51941.08,1900.17,497.98,17.88,4.65
9,MS,Building Type,1 ATTACHED,12887.363,54291.71,1410.52,249.56,16.79,3.09
10,MS,Building Type,1 DETACHED,797337.983,68267.19,1998.47,422.52,13.06,3.5700000000000003
11,MS,Building Type,MOBILE_TRAILER,150909.736,40266.57,2081.61,369.99,15.38,6.13
12,MS,Building Type,10-19 UNIT,22813.537,37334.42,1233.05,24.59,1.6,3.37
13,MS,Building Type,2 UNIT,23269.028,27586.79,1357.27,169.3,3.76,5.55
14,MS,Building Type,3-4 UNIT,31168.708,26718.48,1323.69,103.1,2.03,5.35
15,MS,Building Type,5-9 UNIT,44988.318,31054.22,1280.29,57.73,2.02,4.32
16,MS,Building Type,BOAT_RV_VAN,1177.116,32849.19,633.06,136.71,4.03,2.36
17,MS,Building Type,50+ UNIT,11285.874,34410.99,945.41,16.86,1.17,2.8000000000000003
18,MS,Building Type,20-49 UNIT,9738.336,28851.19,1069.4,17.42,0.6,3.7699999999999996
19,MS,Heating Fuel,BOTTLED GAS,126999.0,53554.36,1894.31,1133.05,32.0,5.71
20,MS,Heating Fuel,ELECTRICITY,620616.0,57301.17,2064.33,136.6,7.28,3.85
21,MS,Heating Fuel,OTHER,1189.0,35733.83,1370.42,450.77,133.53,5.47
22,MS,Heating Fuel,SOLAR,146.0,19101.92,902.92,122.53,0.0,5.37
23,MS,Heating Fuel,UTILITY GAS,336022.0,66560.18,1640.3,515.44,9.41,3.25
24,MS,Heating Fuel,WOOD,14499.0,46301.09,1652.66,258.53,62.84,4.26
25,MS,Heating Fuel,COAL,93.0,40438.8,1323.03,173.54,72.19,3.88
26,MS,Heating Fuel,NONE,3662.0,31447.89,1159.67,85.06,13.76,4.0
27,MS,Heating Fuel,FUEL OIL,2350.0,32014.24,1347.68,115.71,164.25,5.08
28,MS,Percent of FPL,0-100%,205748.656,9665.69,1805.26,342.93,10.74,22.34
29,MS,Percent of FPL,100-150%,130151.815,21981.2,1800.15,375.6,12.87,9.959999999999999
30,MS,Percent of FPL,150-200%,116903.525,31490.64,1857.49,377.2,13.47,7.140000000000001
31,MS,Percent of FPL,200-400%,336863.119,53821.42,1928.5,363.08,11.8,4.279999999999999
32,MS,Percent of FPL,400%+,315908.885,123384.93,2005.82,382.78,12.1,1.95
