,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,CA,978861,957678,936625,940512,965307,973766,984309,1010379,1014941,982710
40,Units in Structure: 1 DETACHED,CA,7913569,7955970,7943381,8009878,8067344,8068519,8095544,8199891,8177141,8206562
41,Units in Structure: 10-19,CA,719392,731031,748586,729142,723019,752164,727228,735724,742139,749775
42,Units in Structure: 2,CA,363899,349851,347522,348662,350799,348035,339902,342567,358619,342815
43,Units in Structure: 20-49,CA,695044,682237,677161,680654,679975,680423,708661,703150,712922,733897
44,Units in Structure: 3-4,CA,753973,749821,765100,781475,781016,789261,794480,770463,783963,789366
45,Units in Structure: 5-9,CA,827604,843623,840520,863609,876765,867694,872172,844841,874649,876097
46,Units in Structure: 50+,CA,890403,911039,921029,909553,914326,963151,1013434,1035668,1074890,1130664
47,"Units in Structure: Boat,RV,Van,Etc.",CA,18443,16730,14581,14053,15104,17267,12190,14929,13999,17195
48,Units in Structure: Mobile Home,CA,521788,523207,513692,513724,527939,528119,513455,519658,524604,537931
