Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NC,1544889,152003,0,446,38527,127848,70592,163231,344857,365696,246594,35095
Statewide Total,,Cooperative,NC,4790,0,0,0,0,0,0,0,22,1372,3136,260
Statewide Total,,Privately Owned,NC,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,NC,1438339,150675,0,446,35248,120942,64434,150155,313614,338594,230436,33795
Statewide Total,,Municipal Owned,NC,101760,1328,0,0,3279,6906,6158,13076,31221,25730,13022,1040
FRONTIER NATURAL GAS COMPANY,31406,Cooperative,NC,4790,0,0,0,0,0,0,0,22,1372,3136,260
"WILSON GAS DEPT, CITY OF",22679,Municipal Owned,NC,15142,505,0,0,176,975,1084,1775,4928,3870,1741,88
"TOCCOA NATURAL GAS SYSTEM, CITY OF",19490,Municipal Owned,NC,955,0,0,0,0,0,0,0,0,670,268,17
"SHELBY GAS DEPT, CITY OF",18264,Municipal Owned,NC,10661,0,0,0,1404,956,291,1271,4544,1777,393,25
"ROCKY MOUNT MUNICIPAL SYSTEM, CITY OF",17610,Municipal Owned,NC,19347,353,0,0,16,867,1817,3263,4585,5379,2952,115
PUBLIC SERVICE CO OF NORTH CAROLINA,15938,Investor Owned,NC,604099,0,0,446,2541,33677,34870,71743,159169,148816,136168,16669
PIEDMONT NATURAL GAS CO INC,15518,Investor Owned,NC,834240,150675,0,0,32707,87265,29564,78412,154445,189778,94268,17126
"MONROE NATURAL GAS DEPT, CITY OF",12672,Municipal Owned,NC,12617,0,0,0,48,311,1444,1867,3125,3343,2225,254
"LEXINGTON GAS DEPT, CITY OF",11456,Municipal Owned,NC,11591,0,0,0,1032,2705,411,642,3066,1605,1993,137
KINGS MOUNTAIN NATURAL GAS SYSTEM,10270,Municipal Owned,NC,4084,0,0,0,603,822,341,683,1169,276,168,22
GREENVILLE UTILITIES COMMISSION,6790,Municipal Owned,NC,25626,470,0,0,0,52,661,3206,9082,8566,3213,376
"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",1384,Municipal Owned,NC,1737,0,0,0,0,218,109,369,722,244,69,6
