,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,UT,6.2,6.2,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.3
26,Number of Rooms: 1,UT,14832,14233,11743,11900,14451,16367,17059,21192,21449,20350
27,Number of Rooms: 2,UT,20972,21347,22047,20941,21764,19759,22489,24258,27558,27873
28,Number of Rooms: 3,UT,63107,63362,66261,64829,63243,67291,68161,69772,75776,76967
29,Number of Rooms: 4,UT,139404,140218,140499,135802,141052,145844,143440,142818,149028,153146
30,Number of Rooms: 5,UT,152934,157148,159246,157617,157020,152801,156609,153708,162220,170674
31,Number of Rooms: 6,UT,136883,134282,130194,133701,136929,143182,134557,142328,135961,145967
32,Number of Rooms: 7,UT,122375,125037,120898,125666,126728,125295,125534,129319,129909,124277
33,Number of Rooms: 8,UT,115124,116118,115210,117390,111357,120094,129353,125010,122722,131631
34,Number of Rooms: 9+,UT,216190,221380,230679,238318,250049,247432,257040,276280,284116,282658
