,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,UT,60255,60059,61976,59484,58089,62791,63418,67480,72434,73640
40,Units in Structure: 1 DETACHED,UT,669378,676023,683098,697678,704948,708118,727987,741226,753337,768897
41,Units in Structure: 10-19,UT,43117,48091,43569,46943,46433,47066,46628,44083,47479,52043
42,Units in Structure: 2,UT,33980,32809,33641,32079,34658,32017,31813,29814,28981,27484
43,Units in Structure: 20-49,UT,35549,33017,32137,29504,32142,33945,35580,35676,42650,42745
44,Units in Structure: 3-4,UT,43006,44851,46446,46658,43661,42761,47596,50477,45538,49027
45,Units in Structure: 5-9,UT,36977,33448,33710,29492,35490,37563,33163,38457,39772,37578
46,Units in Structure: 50+,UT,21410,26643,24260,27563,30518,32454,34182,39854,42590,44860
47,"Units in Structure: Boat,RV,Van,Etc.",UT,1030,737,814,443,366,1013,761,674,664,116
48,Units in Structure: Mobile Home,UT,37119,37447,37126,36320,36288,40337,33114,36944,35294,37153
