,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,MS,15153,15759,16629,17346,13779,15502,15492,12867,16272,14605
40,Units in Structure: 1 DETACHED,MS,881568,891315,884693,888554,898063,903335,906923,908556,914062,920763
41,Units in Structure: 10-19,MS,24730,28955,30709,32431,28458,33226,32501,34988,32100,31199
42,Units in Structure: 2,MS,31682,28506,33142,29227,30449,30274,30928,32196,34725,33719
43,Units in Structure: 20-49,MS,12707,14722,11958,12336,12892,12264,13797,16243,17471,17991
44,Units in Structure: 3-4,MS,37763,38847,37771,42412,37557,37281,41693,39698,39112,41298
45,Units in Structure: 5-9,MS,59295,53721,61529,60523,62638,63776,55091,52464,59711,65085
46,Units in Structure: 50+,MS,12235,12610,11287,14190,17573,14596,12704,15817,14901,16054
47,"Units in Structure: Boat,RV,Van,Etc.",MS,2059,920,1556,896,1751,1543,958,1652,1610,2082
48,Units in Structure: Mobile Home,MS,199249,196405,194623,185277,191578,189135,197405,209273,202667,196251
