,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",CO,99108,92225,89866,83141,77628,76242,80074,71861,70926,65394
8,"Household Income: $100,000 to $124,999",CO,167979,169540,172814,179342,189187,207223,205649,220777,229270,241879
9,"Household Income: $125,000 to $149,999",CO,98362,98781,104874,108252,118174,127008,126674,147368,151981,168327
10,"Household Income: $15,000 to $19,999",CO,94842,95517,91787,89739,82322,78078,81207,70348,72175,59304
11,"Household Income: $150,000 to $199,999",CO,93692,107969,108106,118349,128425,136241,148964,163468,179501,203081
12,"Household Income: $20,000 to $24,999",CO,107212,102838,103159,100427,92645,94793,90408,78795,83876,80145
13,"Household Income: $200,000 or more",CO,83674,93286,99437,108851,120623,136411,152152,167691,189441,229219
14,"Household Income: $25,000 to $29,999",CO,95192,87282,91909,101631,90444,82041,84492,79471,74956,68908
15,"Household Income: $30,000 to $34,999",CO,102786,102590,100994,100137,98482,96000,88961,87540,87127,81515
16,"Household Income: $35,000 to $39,999",CO,94862,94945,90978,88337,92642,94658,89926,91614,84288,80154
17,"Household Income: $40,000 to $44,999",CO,94755,96483,95972,91619,92116,94464,90355,89530,86907,77589
18,"Household Income: $45,000 to $49,999",CO,84359,84353,85735,83971,85910,84216,81731,86726,82438,78031
19,"Household Income: $50,000 to $59,999",CO,154810,165199,162739,156867,160621,160123,167806,164099,158913,158282
20,"Household Income: $60,000 to $74,999",CO,206827,205166,208812,207946,214940,218560,224015,219255,222283,232780
21,"Household Income: $75,000 to $99,999",CO,248333,245102,260636,264469,272729,278937,287881,290530,297089,308250
22,"Household Income: Less than $10,000",CO,133792,134112,128270,119722,122704,109740,108697,110134,105586,102245
23,Household Income: Total:,CO,1960585,1975388,1996088,2002800,2039592,2074735,2108992,2139207,2176757,2235103
24,Median Household Income,CO,54046.0,55387.0,56765.0,58823.0,61303.0,63909.0,65685.0,69117.0,71953.0,77127.0
