Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,TN,41310.227,28.12121212121212,6266,4551.0,74.0,72.0,2456.0,3371.0,2129.0,5449.0,11150.0,7030.0,4559.0,453.0
Statewide Total,,Cooperative,TN,1366.4,21.0,55,240.0,0.0,0.0,0.0,54.0,3.0,126.0,522.0,258.0,153.0,7.0
Statewide Total,,Privately Owned,TN,108.28999999999999,36.75,14,0.0,0.0,7.0,0.0,0.0,0.0,14.0,21.0,59.0,6.0,0.0
Statewide Total,,Investor Owned,TN,8961.365,24.333333333333332,821,2470.0,0.0,0.0,169.0,583.0,458.0,1078.0,1547.0,1453.0,1071.0,126.0
Statewide Total,,Municipal Owned,TN,30874.172,28.181818181818183,5376,1840.0,74.0,65.0,2286.0,2732.0,1667.0,4230.0,9059.0,5259.0,3327.0,319.0
MIDDLETON GAS DEPT.,39121,Municipal Owned,TN,16.73,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73,0.0
NAVITAS UTILITY COPORATION,32647,Privately Owned,TN,24.69,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,10.19,0.0,0.0,0.0
VOLUNTEER ENERGY COOPERATIVE,32307,Cooperative,TN,15.5,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,1.0,0.0
POWELL VALLEY UTILITY DISTRICT INC.,32165,Municipal Owned,TN,16.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
BEDFORD COUNTY UTILITY DISTRICT,31694,Privately Owned,TN,65.6,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.6,0.0
CLAIBORNE UTILITIES DISTRICT,31498,Municipal Owned,TN,127.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,34.0,7.0,4.0
CLAY GAS UTILITY DISTRIST,31315,Municipal Owned,TN,55.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0
"FOREXCO, INC.",30975,Privately Owned,TN,11.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
"TUMLINSON ENGINEERING, INC",30863,Privately Owned,TN,7.0,76.0,14,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POPLAR GROVE UTILITY DISTRICT,30669,Cooperative,TN,218.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,20.0,48.0,2.0
CITY OF RED BOILING SPRINGS GAS UTILITY,30643,Municipal Owned,TN,40.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0
"BELLS, GAS & WATER DEPT., CITY OF",30618,Municipal Owned,TN,120.0,0.0,0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ST JOSEPH, CITY OF",30030,Municipal Owned,TN,18.5,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0
MT PLEASANT GAS SYSTEM,25126,Municipal Owned,TN,60.62,30.0,0,17.03,0.0,0.0,0.0,0.0,0.0,26.0,14.0,2.0,1.59,0.0
WEST TENNESSEE PUBLIC UTIL DIST,22434,Municipal Owned,TN,1194.67,29.0,302,0.0,0.0,0.0,236.03,63.0,26.0,148.0,232.0,101.94,330.01,57.7
"WAYNESBORO GAS DEPT, CITY OF",22315,Municipal Owned,TN,26.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),20211,Investor Owned,TN,3733.2,28.0,498,16.5,0.0,0.0,104.9,352.2,275.7,772.0,993.0,613.7,526.9,78.3
UNICOI COUNTY MUNICIPAL UTILITY AUTH,20030,Municipal Owned,TN,145.0,37.0,50,0.0,0.0,0.0,0.0,50.0,4.0,27.0,52.0,9.0,3.0,0.0
"TROY GAS SYSTEM, TOWN OF",19710,Municipal Owned,TN,12.0,55.0,8,0.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
"TIPTON COUNTY, FIRST UTIL DIST OF",19471,Municipal Owned,TN,194.27,33.0,42,0.0,0.0,0.0,0.0,41.0,11.0,24.0,98.0,9.0,11.27,0.0
SWEETWATER BOARD OF PUBLIC UTILITES,18768,Municipal Owned,TN,67.0,8.0,0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,0.0
SPRINGFIELD GAS SYSTEM,18591,Municipal Owned,TN,375.99,24.0,0,96.13,0.0,0.0,0.0,0.0,0.0,106.0,72.0,53.2,44.81,3.85
"SOUTH FULTON GAS DEPT, CITY OF",18432,Municipal Owned,TN,38.3,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,4.3,0.0,0.0
SOMERVILLE LIGHT GAS & WATER,18392,Municipal Owned,TN,257.2,26.0,25,0.0,0.0,0.0,21.0,4.0,4.0,11.0,128.0,70.0,7.2,12.5
"SMYRNA NATURAL GAS SYSTEM, TOWN OF",18368,Municipal Owned,TN,292.89,21.0,8,25.13,0.0,0.0,5.0,3.0,6.0,24.0,75.0,123.0,25.24,6.52
SEVIER COUNTY UTIL DIST,18192,Municipal Owned,TN,707.0,21.0,45,0.0,0.0,0.0,0.0,45.0,3.0,46.0,258.0,226.0,120.0,9.0
SELMER NATURAL GAS SYSTEM,18176,Municipal Owned,TN,119.3,40.0,51,0.0,0.0,0.0,25.0,26.0,6.0,26.0,16.0,2.0,18.3,0.0
SAVANNAH PUBLIC UTILITY DEPT,18124,Municipal Owned,TN,286.0,35.0,74,0.0,0.0,0.0,40.0,29.0,36.0,11.0,122.0,39.0,7.0,2.0
ROCKWOOD NATURAL GAS SYSTEM,17600,Municipal Owned,TN,163.0,15.0,0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,0.0
"RIPLEY GAS DEPT, TOWN OF",17470,Municipal Owned,TN,239.5,11.0,0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.5,1.0
"RIDGETOP NATURAL GAS DEPT, CITY OF",17400,Municipal Owned,TN,17.9,36.0,1,0.0,0.0,0.0,0.0,0.0,7.5,6.0,2.0,2.0,0.4,0.0
PULASKI NATURAL GAS DEPT,15966,Municipal Owned,TN,92.5,37.0,32,0.0,0.0,0.0,28.0,4.0,5.0,4.0,37.0,1.0,13.5,0.0
POWELL CLINCH UTIL DIST,15826,Municipal Owned,TN,816.0,30.0,218,0.0,0.0,0.0,0.0,217.0,8.0,53.0,315.0,84.0,127.0,12.0
