Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,TN,1432859,53484,23651,33266,78934,104692,116850,191327,403770,243988,164948,17949
Statewide Total,,Cooperative,TN,30848,3552,0,0,36,682,159,2909,11277,6762,4766,705
Statewide Total,,Privately Owned,TN,1233,0,0,161,0,0,0,534,91,304,125,18
Statewide Total,,Investor Owned,TN,441099,4752,470,88,12458,25734,28012,66715,142970,82956,68664,8280
Statewide Total,,Municipal Owned,TN,959679,45180,23181,33017,66440,78276,88679,121169,249432,153966,91393,8946
MIDDLETON GAS DEPT.,39121,Municipal Owned,TN,367,0,0,0,0,0,0,0,0,0,364,3
NAVITAS UTILITY COPORATION,32647,Privately Owned,TN,649,0,0,0,0,0,0,534,91,0,21,3
VOLUNTEER ENERGY COOPERATIVE,32307,Cooperative,TN,44,0,0,0,0,0,0,0,0,16,25,3
POWELL VALLEY UTILITY DISTRICT INC.,32165,Municipal Owned,TN,155,0,0,0,0,0,0,0,0,0,0,155
BEDFORD COUNTY UTILITY DISTRICT,31694,Privately Owned,TN,423,0,0,0,0,0,0,0,0,304,104,15
CLAIBORNE UTILITIES DISTRICT,31498,Municipal Owned,TN,1352,0,0,0,0,0,0,0,500,427,380,45
CLAY GAS UTILITY DISTRIST,31315,Municipal Owned,TN,296,0,0,0,0,0,0,0,160,35,100,1
"FOREXCO, INC.",30975,Privately Owned,TN,0,0,0,0,0,0,0,0,0,0,0,0
"TUMLINSON ENGINEERING, INC",30863,Privately Owned,TN,161,0,0,161,0,0,0,0,0,0,0,0
POPLAR GROVE UTILITY DISTRICT,30669,Cooperative,TN,4638,0,0,0,0,0,0,0,2722,1079,730,107
CITY OF RED BOILING SPRINGS GAS UTILITY,30643,Municipal Owned,TN,475,0,0,0,0,0,0,0,200,100,174,1
"BELLS, GAS & WATER DEPT., CITY OF",30618,Municipal Owned,TN,732,732,0,0,0,0,0,0,0,0,0,0
"ST JOSEPH, CITY OF",30030,Municipal Owned,TN,377,0,0,0,0,0,0,0,311,58,6,2
MT PLEASANT GAS SYSTEM,25126,Municipal Owned,TN,1839,1157,0,0,0,0,0,430,180,26,36,10
WEST TENNESSEE PUBLIC UTIL DIST,22434,Municipal Owned,TN,17675,0,0,0,3000,1050,1190,3891,5504,1356,1433,251
"WAYNESBORO GAS DEPT, CITY OF",22315,Municipal Owned,TN,1147,0,0,0,0,0,0,0,0,0,1147,0
ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),20211,Investor Owned,TN,164386,2336,469,0,1222,4880,8282,29631,53445,28564,31554,4003
UNICOI COUNTY MUNICIPAL UTILITY AUTH,20030,Municipal Owned,TN,4730,0,0,0,0,1032,204,1114,1503,454,423,0
"TROY GAS SYSTEM, TOWN OF",19710,Municipal Owned,TN,415,0,0,0,300,40,39,21,13,0,2,0
"TIPTON COUNTY, FIRST UTIL DIST OF",19471,Municipal Owned,TN,3327,0,0,0,0,645,26,481,1289,501,353,32
SWEETWATER BOARD OF PUBLIC UTILITES,18768,Municipal Owned,TN,1920,1187,0,0,0,0,0,56,410,215,52,0
SPRINGFIELD GAS SYSTEM,18591,Municipal Owned,TN,8932,2946,0,0,0,0,0,1365,2004,1401,1068,148
"SOUTH FULTON GAS DEPT, CITY OF",18432,Municipal Owned,TN,1109,0,0,0,0,0,0,943,138,9,18,1
SOMERVILLE LIGHT GAS & WATER,18392,Municipal Owned,TN,7875,0,0,0,550,74,2,269,1911,3361,1450,258
"SMYRNA NATURAL GAS SYSTEM, TOWN OF",18368,Municipal Owned,TN,11326,6053,0,0,0,0,0,0,643,2645,1679,306
SEVIER COUNTY UTIL DIST,18192,Municipal Owned,TN,15884,0,0,0,0,560,257,933,5308,5279,3097,450
SELMER NATURAL GAS SYSTEM,18176,Municipal Owned,TN,2071,576,0,0,0,110,102,359,578,157,178,11
