,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,FL,30896.427999999996,29.80952380952381,4907,4539.0,97.0,146.0,828.0,3520.0,1844.0,2719.0,4563.0,5506.0,6219.0,912.0
1,Statewide Total,,Cooperative,FL,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,FL,3841.15,32.0,1721,17.0,0.0,0.0,0.0,1659.0,422.0,252.0,300.0,603.0,509.0,76.0
3,Statewide Total,,Investor Owned,FL,17685.871,21.5,1189,3530.0,34.0,80.0,172.0,734.0,824.0,1208.0,2612.0,3498.0,4356.0,633.0
4,Statewide Total,,Municipal Owned,FL,9369.407,31.741935483870968,1997,992.0,63.0,65.0,656.0,1126.0,597.0,1258.0,1651.0,1404.0,1353.0,202.0
5,CITY OF JACKSONVILLE BEACH D/B/A BEACHES ENERGY SERVICES,32555,Municipal Owned,FL,36.843,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.844
6,PENINSULA PIPELINE COMPANY,32462,Investor Owned,FL,98.23,10.0,7,0.0,0.0,0.0,0.0,7.196,0.0,0.0,0.0,8.37,76.169,6.495
7,AMERIGAS PROPANE LP,32013,Privately Owned,FL,45.75,30.0,6,0.0,0.0,0.0,0.0,3.5,16.7,0.0,1.53,24.02,0.0,0.0
8,ST JOE NATURAL GAS CO INC,25136,Investor Owned,FL,181.0,33.0,37,0.0,0.0,0.0,0.0,34.0,23.0,29.0,68.0,11.0,15.0,1.0
9,"WILLISTON GAS DEPT, CITY OF",22651,Municipal Owned,FL,24.0,31.0,12,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,10.0,0.0
10,"TALLAHASSEE, CITY OF",19030,Municipal Owned,FL,952.96,29.0,16,189.97,0.0,0.0,0.0,0.0,108.0,292.0,215.0,29.0,107.54,11.45
11,"SUNRISE, CITY OF",18738,Municipal Owned,FL,194.0,10.0,0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0
12,"STARKE NATURAL GAS DEPT, CITY OF",18620,Municipal Owned,FL,31.0,54.0,27,1.0,0.0,0.0,4.5,22.5,1.0,0.5,0.5,0.0,0.0,1.0
13,REEDY CREEK UTILITY CO INC,17180,Privately Owned,FL,58.0,29.0,1,0.0,0.0,0.0,0.0,0.0,12.0,13.0,21.0,7.0,5.0,0.0
14,"QUINCY MUNICIPAL GAS SYSTEM, CITY OF",16010,Municipal Owned,FL,62.3,6.0,0,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,"PERRY, CITY OF",15385,Municipal Owned,FL,94.0,47.0,47,0.0,0.0,0.0,42.0,4.0,7.0,12.0,27.0,2.0,0.0,0.0
16,PEOPLES GAS SYSTEM INC,15348,Investor Owned,FL,14312.97,19.0,777,3249.18,34.23,59.86,151.02,424.07,548.21,916.45,2111.71,2823.26,3467.96,527.01
17,PALATKA GAS AUTH,15042,Municipal Owned,FL,139.0,38.0,70,0.0,0.0,0.0,0.0,69.0,13.0,9.0,7.0,8.0,32.0,1.0
18,OKALOOSA COUNTY GAS DISTRICT,14200,Municipal Owned,FL,1457.0,30.0,253,0.0,0.0,0.0,147.0,95.0,77.0,327.0,332.0,266.0,176.0,37.0
19,FERRELLGAS,13772,Investor Owned,FL,7.1,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0
20,"MILTON, CITY OF",12540,Municipal Owned,FL,308.344,3.0,0,280.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.186,15.129
21,"MARIANNA, CITY OF",12150,Municipal Owned,FL,77.0,48.0,52,0.0,0.0,0.0,52.0,0.0,0.0,0.0,7.0,5.0,13.0,0.0
22,"MADISON, CITY OF",12030,Municipal Owned,FL,54.0,21.0,0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0
23,"LIVE OAK GAS DEPT, CITY OF",11576,Municipal Owned,FL,52.5,43.0,30,0.0,0.0,0.0,0.0,30.0,2.0,10.0,4.0,1.36,5.36,0.0
24,"LEESBURG, CITY OF",11352,Municipal Owned,FL,304.425,30.0,64,0.0,0.0,0.0,0.0,59.673,33.622,70.397,44.987,30.532,44.088,21.126
25,"LAKE CITY, CITY OF",11113,Municipal Owned,FL,229.293,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.338,61.539,14.487,0.929
26,LAKE APOPKA NATURAL GAS DISTRICT,11096,Municipal Owned,FL,936.424,23.0,204,52.124,0.0,0.0,0.0,204.767,1.06,39.66,98.737,243.001,274.15,22.927
27,"JAY, TOWN OF",9160,Municipal Owned,FL,31.5,16.0,0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
28,"JASPER, CITY OF",9130,Municipal Owned,FL,26.568,44.0,19,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,5.568,0.0
29,"HAVANA, TOWN OF",7155,Municipal Owned,FL,16.295,61.0,14,0.0,0.0,0.0,14.0,0.0,0.0,1.955,0.0,0.0,0.34,0.0
30,"GULF BREEZE, CITY OF",6850,Municipal Owned,FL,161.19,28.0,23,0.0,0.0,0.0,0.0,20.0,20.0,30.0,36.0,21.344,33.446,0.4
31,GAINESVILLE REGIONAL UTIL GAS DEPT,6030,Municipal Owned,FL,818.0,32.0,181,0.0,0.0,0.0,75.0,93.0,88.0,130.0,185.0,164.0,83.0,0.0
32,FORT PIERCE UTILITIES AUTH - GAS DEPT,5460,Municipal Owned,FL,172.916,42.0,99,0.0,0.0,0.0,0.0,98.78,8.0,8.4,34.3,14.3,7.288,2.414
33,FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,64.401,33.0,5,0.0,0.0,0.0,0.0,0.0,38.135,0.0,0.43,23.499,2.337,0.0
34,FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,2080.419,26.0,363,3.231,0.0,20.41,21.481,269.305,212.494,243.034,295.077,431.158,511.605,72.624
35,"FLORALA UTILITY BOARD, CITY OF",5290,Municipal Owned,FL,16.5,51.0,15,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.5,0.0
