,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,MO,97957,93873,87953,90037,96260,89876,88337,90414,101246,98119
40,Units in Structure: 1 DETACHED,MO,1891143,1907384,1903644,1904652,1920201,1936604,1929159,1970003,1958515,1980150
41,Units in Structure: 10-19,MO,95242,92504,91265,97852,94509,93263,96855,100843,100929,92882
42,Units in Structure: 2,MO,94554,95720,99181,94799,90595,90350,98516,94730,91418,94351
43,Units in Structure: 20-49,MO,55203,58709,57559,54420,55753,58798,57052,59254,57408,65634
44,Units in Structure: 3-4,MO,121033,128572,125832,126788,123837,133461,132552,129174,129205,120940
45,Units in Structure: 5-9,MO,100578,106524,103957,102196,113355,108803,112250,102717,113178,107855
46,Units in Structure: 50+,MO,67974,65768,67863,67368,67873,69349,68366,72797,75130,84300
47,"Units in Structure: Boat,RV,Van,Etc.",MO,1852,1701,1423,1949,2024,1533,1581,2667,2570,4473
48,Units in Structure: Mobile Home,MO,188481,172694,181410,179048,171396,164607,175558,169846,176697,170630
