Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,WI,10792,8906,7640,6555,7955,8115,7748,6713,7159,7472,6202
,Statewide Total,Cooperative,WI,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,WI,51,60,162,132,123,157,149,196,153,201,131
,Statewide Total,Investor Owned,WI,10730,8837,7460,6409,7820,7931,7580,6500,6991,7242,6047
,Statewide Total,Municipal Owned,WI,11,9,18,14,12,27,19,17,15,29,24
31298,"SUBURBAN PROPANE, L.P.",Investor Owned,WI,0,0,0,0,0,0,0,0,0,0,0
30660,FLORENCE UTILITY COMMISSION,Municipal Owned,WI,11,9,18,14,12,27,19,17,15,29,24
22791,WISCONSIN PUBLIC SERVICE CORP,Investor Owned,WI,1707,2329,1713,1761,2097,2565,2311,2061,2108,2150,1743
22784,ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,Investor Owned,WI,1589,1682,1837,1864,2154,2404,2250,1990,2170,2158,1890
22777,WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,Investor Owned,WI,1950,1290,966,433,584,560,595,556,632,766,710
22763,WISCONSIN GAS LLC DBA WE ENERGIES,Investor Owned,WI,4060,2067,1595,988,1611,1316,1261,1164,1079,1175,1067
18752,SUPERIOR WATER LIGHT & POWER CO,Investor Owned,WI,62,71,55,30,31,31,43,37,50,32,37
18048,ST CROIX VALLEY NATURAL GAS CO INC,Privately Owned,WI,12,22,16,15,10,28,16,24,17,13,19
13783,NORTHERN STATES POWER CO OF WISCONSIN,Investor Owned,WI,247,393,333,283,248,223,211,176,261,213,198
13772,FERRELLGAS,Privately Owned,WI,6,6,1,6,1,0,0,0,0,0,1
12492,MIDWEST NATURAL GAS INC,Privately Owned,WI,33,32,145,111,112,129,133,172,136,188,111
12018,MADISON GAS & ELECTRIC CO,Investor Owned,WI,1106,1000,951,1046,1087,826,903,511,682,740,392
2428,CITY GAS CO,Investor Owned,WI,9,5,10,4,8,6,6,5,9,8,10
