Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WI,1712298,14499,1495,1022,33049,169550,264982,247453,353797,281232,321878,23341
Statewide Total,,Cooperative,WI,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,WI,27309,0,0,0,0,2819,2128,2696,7759,6148,5128,631
Statewide Total,,Investor Owned,WI,1683288,14499,1495,1022,33049,166731,262854,244757,344851,274836,316512,22682
Statewide Total,,Municipal Owned,WI,1701,0,0,0,0,0,0,0,1187,248,238,28
"SUBURBAN PROPANE, L.P.",31298,Investor Owned,WI,277,0,0,0,0,0,114,63,0,58,42,0
FLORENCE UTILITY COMMISSION,30660,Municipal Owned,WI,1701,0,0,0,0,0,0,0,1187,248,238,28
WISCONSIN PUBLIC SERVICE CORP,22791,Investor Owned,WI,309500,0,0,7,310,23932,62294,40608,74125,56830,46817,4577
ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,22784,Investor Owned,WI,174913,380,5,17,664,13096,24315,31424,41027,32946,30355,684
WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,22777,Investor Owned,WI,418591,0,0,38,5912,42926,88666,70353,87737,63581,54468,4910
WISCONSIN GAS LLC DBA WE ENERGIES,22763,Investor Owned,WI,530932,1456,478,749,23817,70814,55825,63325,88249,78328,137968,9923
SUPERIOR WATER LIGHT & POWER CO,18752,Investor Owned,WI,12378,71,0,0,3,977,2600,1922,2595,1356,2684,170
ST CROIX VALLEY NATURAL GAS CO INC,18048,Privately Owned,WI,8548,0,0,0,0,1045,1213,1377,1503,1837,1404,169
NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,WI,103337,12592,103,3,20,3725,3828,13032,28659,18332,22398,645
FERRELLGAS,13772,Privately Owned,WI,460,0,0,0,0,0,0,0,0,426,34,0
MIDWEST NATURAL GAS INC,12492,Privately Owned,WI,18301,0,0,0,0,1774,915,1319,6256,3885,3690,462
MADISON GAS & ELECTRIC CO,12018,Investor Owned,WI,127812,0,909,208,2323,10928,24867,23615,21393,21678,20222,1669
CITY GAS CO,2428,Investor Owned,WI,5548,0,0,0,0,333,345,415,1066,1727,1558,104
