,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, North Dakota (Million cubic feet)",8186,8502,10346,8204,9556,10200,10182,10164,12417,11588,9644,8958,10932,9685,9974,10353,9351,8063,9147,9824,9183,10338,9693,10717,10661,11209,12591,11370,10092,10573,10963,10570,11725,11876,11132,10692,9644,10698,11500,11518,10536,10937,9594,12085,12505,10552,10059,11015,12681,13124,
"Natural gas consumed by (delivered to) the commercial sector, North Dakota (Million cubic feet)",8315,9059,9874,9875,11528,12425,12202,11234,11845,12044,11026,9419,11361,9828,9961,10118,9084,7908,9827,10609,10236,10732,9759,10642,10783,11644,12150,10870,10082,10023,11060,10456,11675,10952,10473,9903,9355,10296,11101,10987,10302,10973,10364,13236,13999,12317,11810,12957,14454,15455,
"Natural gas consumed by the industrial sector, North Dakota (Million cubic feet)",15849,15630,15662,13986,14284,13983,18671,16136,14678,5485,1992,15874,5578,5944,9728,6919,6726,7892,7915,7913,11298,16706,14402,14352,17152,17847,19513,29152,28915,26267,23885,26161,29028,23886,24248,19145,21310,25139,29010,23187,31809,36976,37162,41005,43042,54005,54744,59582,68734,75681,
"Natural gas consumed by the electric power sector, North Dakota (Million cubic feet)",362,376,328,349,59,157,43,45,21,17,15,20,17,11,10,2,2,3,2,1,2,1,1,1,3,1,3,1,0,0,0,3,1,0,3,1,2,2,1,1,2,0,1,337,1888,6546,11320,7223,9873,14877,
"Residential carbon dioxide emissions, natural gas, North Dakota (million metric tons CO2)",,,,,,,,,,,0.53826,0.495231,0.595084,0.536987,0.555132,0.583358,0.517462,0.448329,0.511997,0.546802,0.502818,0.573702,0.537411,0.602724,0.598426,0.624424,0.702099,0.633444,0.555769,0.586223,0.601981,0.577044,0.623946,0.635778,0.603042,0.587709,0.534228,0.593704,0.635778,0.644692,0.589725,0.62262,0.542133,0.685333,0.720191,0.608401,0.580493,0.632701,0.727407,,
"Commercial carbon dioxide emissions, natural gas, North Dakota (million metric tons CO2)",,,,,,,,,,,0.615404,0.520751,0.618429,0.544892,0.554389,0.570094,0.502712,0.439734,0.550038,0.590468,0.560491,0.595614,0.541072,0.598532,0.60527,0.648671,0.677534,0.605589,0.555238,0.555716,0.60734,0.57089,0.621294,0.586276,0.567335,0.544361,0.518204,0.571367,0.613706,0.61498,0.576673,0.624689,0.585639,0.750593,0.806249,0.710163,0.681566,0.744226,0.829117,,
"Industrial carbon dioxide emissions, natural gas, North Dakota (million metric tons CO2)",,,,,,,,,,,0.111207,0.87761,0.303643,0.329535,0.541443,0.38986,0.372193,0.438832,0.443023,0.440423,0.618641,0.927112,0.798503,0.807151,0.962819,0.994229,1.088139,1.624012,1.592443,1.456352,1.311561,1.428232,1.544745,1.278719,1.313524,1.052379,1.180352,1.395178,1.603797,1.297872,1.780476,2.105023,2.099877,2.325315,2.478914,3.113684,3.159259,3.422314,3.965349,,
"Natural Gas Citygate Price in North Dakota, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.29,4.18,3.94,3.59,3.42,3.12,3.07,3.49,3.28,3.29,3.15,2.58,2.94,3.38,2.81,3.07,4.6,4.82,3.68,5.79,6.93,8.54,7.82,7.04,8.03,5.16,5.5,5.06,4.43,4.99,6.37,4.46,3.88,4.28,3.82,3.57,3.28
"North Dakota Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.02,1.1,1.13,1.14,1.19,1.51,1.79,2.11,2.33,2.88,3.85,4.28,4.61,5.56,6.38,5.59,5.29,5.47,5.15,4.68,4.7,4.82,5.0,5.23,5.19,4.66,4.54,4.99,5.16,5.32,6.37,7.68,5.14,7.25,9.03,11.4,10.8,9.13,10.34,8.46,8.08,8.1,7.43,7.43,8.86,8.15,7.21,7.64,7.2,7.0,6.82
"North Dakota Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.69,0.76,0.81,0.87,1.0,1.11,1.35,1.67,1.94,2.47,3.43,3.65,4.1,5.06,5.85,5.11,4.79,4.75,4.48,4.19,4.19,4.34,4.52,4.75,4.48,3.9,3.91,4.35,4.37,4.51,5.8,6.96,4.54,6.89,8.21,10.33,9.68,8.37,9.58,7.41,7.03,7.0,6.04,6.32,7.74,6.62,5.45,6.0,5.9,5.67,5.26
