,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MN,106991,97733,97196,90687,92798,85245,88525,78536,83144,75931
8,"Household Income: $100,000 to $124,999",MN,180370,188459,198164,205685,201830,211598,217427,228686,231763,245492
9,"Household Income: $125,000 to $149,999",MN,97635,106611,105980,118830,127032,130076,137087,141109,159943,165229
10,"Household Income: $15,000 to $19,999",MN,106460,101511,95855,96380,90561,90590,85744,77881,75410,70351
11,"Household Income: $150,000 to $199,999",MN,93242,96426,104922,113014,122474,137225,146364,158260,168197,184474
12,"Household Income: $20,000 to $24,999",MN,104990,100892,98768,102628,97208,99911,95223,87273,85693,75222
13,"Household Income: $200,000 or more",MN,75925,84124,100300,103313,121251,121874,138444,155385,167288,189219
14,"Household Income: $25,000 to $29,999",MN,102555,99946,93368,94536,94896,87855,84498,81852,82942,75431
15,"Household Income: $30,000 to $34,999",MN,107713,99330,103080,95437,94877,95514,93089,90441,91403,83608
16,"Household Income: $35,000 to $39,999",MN,98838,97257,95583,92684,94380,96033,93567,85292,91921,79199
17,"Household Income: $40,000 to $44,999",MN,104817,99404,101960,93704,93567,93558,91328,92625,89222,87296
18,"Household Income: $45,000 to $49,999",MN,86493,89073,91598,86702,85697,87188,86602,86173,84109,85383
19,"Household Income: $50,000 to $59,999",MN,177726,177706,170451,173354,175877,169795,166874,169417,160285,161638
20,"Household Income: $60,000 to $74,999",MN,234959,238934,234529,234127,229048,235451,225942,230529,222344,230171
21,"Household Income: $75,000 to $99,999",MN,289660,286361,297101,299162,293727,301391,298663,302058,303312,322135
22,"Household Income: Less than $10,000",MN,123174,132710,123088,119711,113972,103958,99348,96694,97476,91789
23,Household Income: Total:,MN,2091548,2096477,2111943,2119954,2129195,2147262,2148725,2162211,2194452,2222568
24,Median Household Income,MN,55459.0,56954.0,58906.0,60702.0,61481.0,63488.0,65599.0,68388.0,70315.0,74593.0
