Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,UT,965141,0,416,8792,55983,56564,144092,135729,193547,198228,152525,19265
Statewide Total,,Cooperative,UT,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,UT,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,UT,960274,0,416,8792,55983,56564,144092,135729,190562,197135,151835,19166
Statewide Total,,Municipal Owned,UT,4867,0,0,0,0,0,0,0,2985,1093,690,99
"HILDALE, CITY OF",31158,Municipal Owned,UT,274,0,0,0,0,0,0,0,0,183,78,13
NEPHI CITY,30510,Municipal Owned,UT,2493,0,0,0,0,0,0,0,1554,505,385,49
MONA TOWN,30509,Municipal Owned,UT,626,0,0,0,0,0,0,0,285,241,86,14
LEVAN TOWN,30508,Municipal Owned,UT,338,0,0,0,0,0,0,0,282,29,26,1
"BLANDING, CITY OF",30047,Municipal Owned,UT,1136,0,0,0,0,0,0,0,864,135,115,22
DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,UT,960274,0,416,8792,55983,56564,144092,135729,190562,197135,151835,19166
