Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MO,1544146,7964,4620,2776,85945,116647,161787,240297,433195,290079,179538,21298
Statewide Total,,Cooperative,MO,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,MO,458,458,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,MO,1425572,0,4607,2503,81825,98689,147859,224863,405643,272155,167797,19631
Statewide Total,,Municipal Owned,MO,118116,7506,13,273,4120,17958,13928,15434,27552,17924,11741,1667
"ASHLEY ENERGY, LLC",39712,Privately Owned,MO,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP. D/B/A LIBERTY UTILITIES,38906,Investor Owned,MO,73802,0,0,26,15073,13902,6623,9707,14473,9205,4212,581
MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION,32336,Municipal Owned,MO,2,0,0,0,0,0,0,0,0,2,0,0
SUMMIT NATURAL GAS OF MISSOURI,32074,Investor Owned,MO,23180,0,0,0,0,0,0,0,9753,3825,9274,328
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,MO,458,458,0,0,0,0,0,0,0,0,0,0
"RICHLAND, CITY OF",30996,Municipal Owned,MO,737,0,0,0,0,0,0,0,734,3,0,0
"WAYNESVILLE, CITY OF",30866,Municipal Owned,MO,656,0,0,0,0,0,0,0,0,601,48,7
"ST. ROBERT, CITY OF",30865,Municipal Owned,MO,477,0,0,0,0,0,0,0,323,154,0,0
SPIRE MISSOURI INC. WEST,30769,Investor Owned,MO,512703,0,1194,284,3976,11727,45991,94382,213498,87515,48745,5391
WHEATON MUNICIPAL GAS,30561,Municipal Owned,MO,351,0,0,0,0,0,0,0,341,8,2,0
"CUBA, CITY OF, GAS DEPARTMENT",30046,Municipal Owned,MO,1372,0,0,0,0,0,0,0,1055,218,86,13
UNIONVILLE MUNICIPAL NATURAL GAS SYSTEM,20190,Municipal Owned,MO,1122,0,0,0,0,625,249,46,11,65,107,19
AMERENUE,20050,Investor Owned,MO,143036,0,0,0,0,3452,7588,29623,46694,35470,18127,2082
"STANBERRY GAS DEPT, CITY OF",18596,Municipal Owned,MO,669,0,0,0,0,500,0,50,50,27,36,6
"SPRINGFIELD, CITY UTILITIES OF",18584,Municipal Owned,MO,78714,0,13,29,2860,7428,11618,13259,18189,13893,10162,1263
"SHELBINA GAS DEPT, CITY OF",18256,Municipal Owned,MO,878,0,0,0,0,754,0,43,65,0,16,0
PRINCETON MUNICIPAL NATURAL GAS SYSTEM,15861,Municipal Owned,MO,622,0,0,0,0,346,68,59,73,59,17,0
"POTOSI, CITY OF",15812,Municipal Owned,MO,1155,0,0,0,0,892,8,40,137,51,23,4
PLATTSBURG GAS DEPT,15686,Municipal Owned,MO,1265,0,0,244,126,214,366,77,117,112,9,0
"PERRYVILLE MUNICIPAL SYSTEM, CITY OF",15413,Municipal Owned,MO,3814,3493,0,0,0,0,0,0,0,0,93,228
PERRY MUNICIPAL GAS SYSTEM,15392,Municipal Owned,MO,474,0,0,0,0,257,132,12,33,25,12,3
"PARIS GAS SYSTEM, CITY OF",15119,Municipal Owned,MO,660,0,0,0,0,594,0,20,20,4,18,4
"ORONOGO MUNICIPAL GAS SYSTEM , CITY OF",14360,Municipal Owned,MO,266,0,0,0,0,0,0,237,0,8,6,15
NEW HAVEN CITY NATURAL GAS SYSTEM,13290,Municipal Owned,MO,808,0,0,0,0,406,20,37,129,107,103,6
NEW FLORENCE NATURAL GAS SYSTEM,13260,Municipal Owned,MO,229,0,0,0,0,146,35,30,15,1,2,0
"MONTGOMERY, CITY OF",12744,Municipal Owned,MO,996,0,0,0,754,12,6,82,83,38,17,4
MONROE CITY MUNICIPAL GAS SYSTEMS,12666,Municipal Owned,MO,1314,0,0,0,0,837,142,86,111,58,70,10
THE EMPIRE DISTRICT GAS COMPANY,12606,Investor Owned,MO,49617,0,0,144,2210,6392,2722,13474,16920,3477,3889,389
MILAN MUNICIPAL NATURAL GAS SYSTEM,12504,Municipal Owned,MO,903,0,0,0,0,670,132,17,7,38,32,7
MIDDLETOWN CITY NATURAL GAS SYSTEM,12450,Municipal Owned,MO,143,0,0,0,0,98,19,8,12,4,1,1
MERCER MUNICIPAL NATURAL GAS SYSTEM,12372,Municipal Owned,MO,153,0,0,0,0,103,25,9,1,8,5,2
"MADISON GAS DEPT, CITY OF",12012,Municipal Owned,MO,269,0,0,0,0,186,13,5,37,17,11,0
"MACON GAS DEPT MUNICIPAL UTILITIES, CITY OF",12006,Municipal Owned,MO,2358,85,0,0,14,111,69,433,1035,299,290,22
LIBERAL MUNICIPAL GAS SYSTEM,11468,Municipal Owned,MO,319,0,0,0,0,0,284,2,15,9,9,0
SPIRE MISSOURI INC. EAST,11032,Investor Owned,MO,622094,0,3413,2049,60566,63216,84935,77677,103216,132663,83499,10860
KENNETT MUNICIPAL GAS SYSTEM,10156,Municipal Owned,MO,4550,3928,0,0,0,0,0,145,292,104,54,27
JOINT UTILIITIES BOARD - ALTENBURG & FROHNA,9280,Municipal Owned,MO,309,0,0,0,0,186,49,19,16,17,21,1
HERMANN CITY NATURAL GAS SYSTEM,7240,Municipal Owned,MO,1150,0,0,0,0,492,75,105,237,130,104,7
GREEN CITY MUNICIPAL NATURAL GAS SYSTEM,6740,Municipal Owned,MO,259,0,0,0,0,146,37,40,3,11,18,4
GRANT CITY GAS CO,6590,Municipal Owned,MO,382,0,0,0,0,211,84,44,26,5,12,0
"GRANBY GAS, CITY OF",6490,Municipal Owned,MO,972,0,0,0,0,51,0,0,906,10,5,0
"FULTON, CITY OF",5670,Municipal Owned,MO,3813,0,0,0,0,0,47,140,1984,1515,127,0
"CLARENCE, CITY OF",2452,Municipal Owned,MO,323,0,0,0,0,251,0,0,16,18,36,2
"BISMARCK GAS SYSTEM, CITY OF",1456,Municipal Owned,MO,729,0,0,0,0,627,6,69,15,10,2,0
BETHANY MUNICIPAL GAS SYSTEM,1400,Municipal Owned,MO,1819,0,0,0,0,896,255,180,231,188,64,5
"BERNIE MUNICIPAL SYSTEM, CITY OF",1360,Municipal Owned,MO,957,0,0,0,366,242,58,100,90,69,30,2
BERGER CITY NATURAL GAS SYSTEM,1336,Municipal Owned,MO,118,0,0,0,0,81,4,10,17,3,2,1
OMEGA PIPELINE CO,926,Investor Owned,MO,1140,0,0,0,0,0,0,0,1089,0,51,0
"ST. JAMES GAS DEPT., CITY OF",924,Municipal Owned,MO,1099,0,0,0,0,0,0,0,1071,0,26,2
ALBANY MUNICIPAL GAS CO,225,Municipal Owned,MO,910,0,0,0,0,596,127,30,55,35,65,2
