,Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
0,"ABBYVILLE, CITY OF",18,Municipal Owned,KS,52,0,0,0,51,0,0,0,0,1,0,0
1,ABITA SPRINGS NAT GAS & WATER,27,Municipal Owned,LA,946,0,0,0,0,0,0,0,0,852,66,28
2,"ADAIRSVILLE, CITY OF",45,Municipal Owned,GA,1743,4,0,0,0,47,72,356,283,671,245,65
3,TOWN OF ADAMSVILLE GAS DEPT,49,Municipal Owned,TN,2037,1710,0,0,0,0,0,0,0,0,327,0
4,"ADEL GAS DEPT, CITY OF",54,Municipal Owned,GA,798,0,0,0,0,0,123,181,112,183,193,6
5,SPIRE ALABAMA INC.,180,Investor Owned,AL,531852,131695,0,0,36557,54901,53512,54972,78570,54355,61730,5560
6,ALASKA PIPELINE CO,207,Privately Owned,AK,0,0,0,0,0,0,0,0,0,0,0,0
7,ALBANY MUNICIPAL GAS CO,225,Municipal Owned,MO,910,0,0,0,0,596,127,30,55,35,65,2
8,ALBANY WATER GAS & LIGHT COMMISSION,234,Municipal Owned,GA,16880,16753,0,0,0,0,0,0,0,0,102,25
9,"ALEDO GAS DEPT, CITY OF",252,Municipal Owned,IL,1712,0,0,0,1189,216,24,80,39,69,90,5
10,ALEXANDER CITY MUNICIPAL GAS,261,Municipal Owned,AL,4194,0,0,0,0,6,607,1768,1575,111,109,18
11,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",270,Municipal Owned,LA,19906,3012,0,0,0,364,3212,4394,6065,2432,418,9
12,ALLERTON GAS CO,315,Investor Owned,IA,301,0,0,0,0,243,41,0,6,1,10,0
13,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",333,Municipal Owned,KS,500,447,0,0,0,0,0,0,0,23,15,15
14,"ALMA NATURAL  GAS SYSTEMS, CITY OF",342,Municipal Owned,NE,582,0,0,359,19,15,37,38,47,32,30,5
15,"ALTAMONT GAS DEPT, CITY OF",360,Municipal Owned,KS,530,0,0,0,0,0,0,0,525,0,5,0
16,AMARILLO NATURAL GAS INC,383,Privately Owned,OK,16,0,0,0,0,0,0,0,16,0,0,0
17,AMARILLO NATURAL GAS INC,383,Privately Owned,TX,226,0,0,0,70,22,0,68,50,8,8,0
18,"ALTO NATURAL GAS CO, CITY OF",387,Municipal Owned,TX,891,0,0,0,0,839,0,0,0,16,36,0
19,AMERICUS UTILITY COMMISSION,423,Municipal Owned,GA,3163,0,0,0,1802,1125,0,197,0,0,39,0
