,Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,18,"ABBYVILLE, CITY OF",Municipal Owned,KS,0,0,0,0,0,0,0,0,0,0,0
1,27,ABITA SPRINGS NAT GAS & WATER,Municipal Owned,LA,0,0,0,0,0,0,0,0,0,0,2
2,45,"ADAIRSVILLE, CITY OF",Municipal Owned,GA,3,0,5,8,3,2,4,0,3,1,5
3,49,TOWN OF ADAMSVILLE GAS DEPT,Municipal Owned,TN,0,0,9,7,3,3,25,11,12,6,14
4,54,"ADEL GAS DEPT, CITY OF",Municipal Owned,GA,0,0,0,0,0,0,0,0,2,0,0
5,180,SPIRE ALABAMA INC.,Investor Owned,AL,3527,3917,3615,3580,3609,3371,3598,3427,3322,3092,2909
6,207,ALASKA PIPELINE CO,Privately Owned,AK,0,0,0,0,0,0,0,0,0,0,0
7,225,ALBANY MUNICIPAL GAS CO,Municipal Owned,MO,0,0,0,0,0,0,0,0,0,0,0
8,234,ALBANY WATER GAS & LIGHT COMMISSION,Municipal Owned,GA,2,0,0,0,14,0,4,4,0,0,4
9,252,"ALEDO GAS DEPT, CITY OF",Municipal Owned,IL,2,0,0,0,0,0,0,0,0,0,0
10,261,ALEXANDER CITY MUNICIPAL GAS,Municipal Owned,AL,40,10,13,12,9,12,8,15,8,12,21
11,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Municipal Owned,LA,139,95,121,56,78,60,54,50,48,48,47
12,315,ALLERTON GAS CO,Investor Owned,IA,0,0,0,0,0,0,0,0,0,0,0
13,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Municipal Owned,KS,0,0,0,0,0,2,0,1,3,0,1
14,342,"ALMA NATURAL  GAS SYSTEMS, CITY OF",Municipal Owned,NE,3,2,1,0,0,3,1,1,1,2,4
15,360,"ALTAMONT GAS DEPT, CITY OF",Municipal Owned,KS,0,0,0,0,0,0,0,0,0,2,2
16,383,AMARILLO NATURAL GAS INC,Privately Owned,TX,0,0,0,0,0,0,0,0,0,0,0
17,387,"ALTO NATURAL GAS CO, CITY OF",Municipal Owned,TX,0,0,0,0,0,0,0,0,1,0,0
18,423,AMERICUS UTILITY COMMISSION,Municipal Owned,GA,0,0,0,0,0,0,0,0,2,0,0
19,495,"ANDERSONVILLE GAS SYSTEM, CITY OF",Municipal Owned,GA,0,0,0,0,0,0,0,0,0,0,0
20,504,ANDREASSI GAS COMPANY,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
21,522,ANNA MUNICIPAL GAS CO,Municipal Owned,IL,0,0,1,0,0,1,0,0,0,2,1
22,558,APPLEBY NATURAL GAS SYSTEM,Municipal Owned,TX,0,0,0,0,0,0,0,0,0,0,0
23,576,"ARGONIA MUNICIPAL SYSTEM, CITY OF",Municipal Owned,KS,0,0,1,0,2,0,0,0,0,0,0
24,585,ARGYLE MUNICIPAL GAS SYSTEM,Municipal Owned,MN,0,0,0,0,0,0,0,0,0,0,0
25,603,CENTERPOINT ENERGY RESOURCES CORP.,Investor Owned,TX,84,39,61,47,60,70,46,75,63,63,65
26,612,CITY OF ROCKPORT,Municipal Owned,TX,39,33,26,38,30,37,44,91,68,49,48
27,621,ARKANSAS OKLAHOMA GAS CORP,Investor Owned,OK,133,135,51,54,55,58,4,152,136,122,86
28,648,"ARLINGTON GAS SYSTEM, CITY OF",Municipal Owned,KY,0,0,0,0,0,0,0,0,0,0,0
29,666,ARLINGTON NATURAL GAS CO,Privately Owned,OH,6,1,2,0,0,0,0,0,0,0,0
30,675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",Municipal Owned,LA,0,2,2,1,2,0,3,3,0,0,1
