,Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,18,"ABBYVILLE, CITY OF",Municipal Owned,KS,0,0,0,0,0,0,0,0,0,0,0
1,27,ABITA SPRINGS NAT GAS & WATER,Municipal Owned,LA,5,0,0,0,1,7,11,11,10,14,4
2,45,"ADAIRSVILLE, CITY OF",Municipal Owned,GA,3,4,23,11,5,4,6,0,3,1,5
3,49,TOWN OF ADAMSVILLE GAS DEPT,Municipal Owned,TN,17,18,18,14,14,17,38,27,25,17,34
4,54,"ADEL GAS DEPT, CITY OF",Municipal Owned,GA,14,38,0,0,0,0,0,0,2,0,0
5,180,SPIRE ALABAMA INC.,Investor Owned,AL,10824,9742,8031,8047,6065,6428,6124,5442,4730,4304,4311
6,207,ALASKA PIPELINE CO,Privately Owned,AK,0,0,0,0,0,2,0,2,0,0,0
7,225,ALBANY MUNICIPAL GAS CO,Municipal Owned,MO,0,0,0,1,0,0,0,0,1,0,0
8,234,ALBANY WATER GAS & LIGHT COMMISSION,Municipal Owned,GA,17,54,28,14,14,12,24,39,18,16,10
9,252,"ALEDO GAS DEPT, CITY OF",Municipal Owned,IL,2,0,0,1,0,0,5,4,1,0,3
10,261,ALEXANDER CITY MUNICIPAL GAS,Municipal Owned,AL,60,14,32,34,19,27,14,52,25,32,30
11,270,"ALEXANDRIA MUNICIPLE GAS SYSTEM, CITY OF",Municipal Owned,LA,280,177,187,127,118,98,87,70,70,120,153
12,315,ALLERTON GAS CO,Investor Owned,IA,1,1,7,0,0,0,0,0,2,5,3
13,333,"ALMA GAS DISTRIBUTION SYSTEM, CITY OF",Municipal Owned,KS,1,2,2,3,0,3,2,1,8,3,2
14,342,"ALMA NATURAL  GAS SYSTEMS, CITY OF",Municipal Owned,NE,3,2,3,4,0,3,2,1,2,4,5
15,360,"ALTAMONT GAS DEPT, CITY OF",Municipal Owned,KS,0,4,0,0,0,0,0,0,0,2,2
16,383,AMARILLO NATURAL GAS INC,Privately Owned,TX,0,2,0,0,0,0,3,1,0,0,0
17,387,"ALTO NATURAL GAS CO, CITY OF",Municipal Owned,TX,0,12,10,14,16,11,15,17,7,7,8
18,423,AMERICUS UTILITY COMMISSION,Municipal Owned,GA,82,38,22,0,0,0,0,0,2,0,0
19,495,"ANDERSONVILLE GAS SYSTEM, CITY OF",Municipal Owned,GA,0,0,0,0,0,0,0,0,0,0,1
20,504,ANDREASSI GAS COMPANY,Privately Owned,PA,0,0,0,0,0,0,0,0,0,0,0
21,522,ANNA MUNICIPAL GAS CO,Municipal Owned,IL,7,2,2,1,5,5,4,4,8,14,6
22,558,APPLEBY NATURAL GAS SYSTEM,Municipal Owned,TX,39,0,0,0,0,10,2,0,0,1,0
23,576,"ARGONIA MUNICIPAL SYSTEM, CITY OF",Municipal Owned,KS,0,1,1,1,0,0,2,2,1,1,2
24,585,ARGYLE MUNICIPAL GAS SYSTEM,Municipal Owned,MN,1,1,0,0,1,0,0,3,1,1,2
25,603,CENTERPOINT ENERGY RESOURCES CORP.,Investor Owned,TX,364,191,225,135,159,138,144,176,269,255,245
26,612,CITY OF ROCKPORT,Municipal Owned,TX,260,106,101,108,120,111,141,185,182,179,176
27,621,ARKANSAS OKLAHOMA GAS CORP,Investor Owned,OK,255,253,250,259,235,283,263,270,174,136,121
28,648,"ARLINGTON GAS SYSTEM, CITY OF",Municipal Owned,KY,1,1,2,1,2,0,5,1,4,1,2
29,666,ARLINGTON NATURAL GAS CO,Privately Owned,OH,32,33,22,20,27,21,25,21,18,21,18
30,675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",Municipal Owned,LA,7,3,3,57,13,15,14,19,4,8,8
31,702,"ASHBURN GAS DEPT, CITY OF",Municipal Owned,GA,15,69,5,3,1,8,4,4,3,3,1
32,729,"ASHLAND MUNICIPAL GAS, TOWN OF",Municipal Owned,MS,0,0,0,3,8,6,1,0,0,1,1
33,766,ATHENS GAS DEPARTMENT,Municipal Owned,AL,2,1,0,0,0,17,38,30,32,42,44
34,774,ATHENS UTILITIES BOARD,Municipal Owned,TN,36,45,27,33,35,132,52,45,56,45,56
35,792,ATLANTA GAS LIGHT CO,Investor Owned,GA,9557,17253,19685,19795,18337,16927,17689,16964,16689,14694,13840
36,828,"WEST ESCAMBIA UTILITIES, INC.",Municipal Owned,AL,4,5,14,46,31,62,42,31,42,56,18
37,846,"AUBURN, CITY OF",Municipal Owned,KS,0,1,0,0,0,0,5,12,2,8,5
38,855,"AUBURN GAS DEPT, CITY OF",Municipal Owned,IL,1,0,1,0,0,2,3,4,6,7,18
39,860,"FAIRBANK, CITY OF",Municipal Owned,IA,2,2,0,0,0,0,0,0,0,0,0
40,864,"AUGUSTA, CITY OF",Municipal Owned,KY,0,4,40,5,2,4,6,4,2,1,8
41,873,"AUGUSTA LIGHT WATER & GAS, CITY OF",Municipal Owned,AR,6,0,0,0,0,0,0,0,0,0,0
42,883,WESTBROOK PUBLIC UTILITIES,Municipal Owned,MN,0,0,0,3,0,3,5,5,0,2,0
43,885,AURORA GAS CO,Investor Owned,MI,5,9,6,6,14,10,9,7,23,44,28
44,888,COMMUNITY UTILITIES CO.,Privately Owned,MN,1,0,1,0,2,0,1,0,0,1,0
45,891,AURORA UTILITIES,Municipal Owned,IN,25,21,5,12,12,7,9,7,9,8,10
46,893,STUART GAS CO,Municipal Owned,NE,3,0,0,5,8,3,3,0,3,1,0
47,895,KEYSTONE RURAL GAS DISTRICT #1,Municipal Owned,OK,38,20,18,5,8,11,12,4,5,5,6
48,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",Municipal Owned,GA,240,169,404,349,433,185,289,401,350,211,237
49,918,AUSTIN UTILITIES,Municipal Owned,MN,8,9,12,7,6,2,6,7,11,11,9
50,920,NATGAS INC.,Investor Owned,TX,42,87,18,51,114,117,57,57,68,41,43
51,924,"ST. JAMES GAS DEPT., CITY OF",Municipal Owned,MO,0,0,0,0,0,0,0,0,7,2,4
52,926,OMEGA PIPELINE CO,Investor Owned,MO,0,4,0,1,2,0,7,0,4,3,0
53,929,"SEBRING GAS SYSTEM, INC",Investor Owned,FL,4,3,0,0,0,4,7,5,28,18,19
54,933,AVANT UTILITIES AUTH,Municipal Owned,OK,0,6,4,4,1,13,3,3,3,3,0
55,967,"PINEDALE NATURAL GAS, INC",Privately Owned,WY,16,15,12,13,12,2,8,3,4,2,2
56,968,"UNIVERSAL NATURAL GAS, INC.",Investor Owned,TX,14,18,30,23,27,36,41,51,38,46,75
57,969,BALDWYN MUN GAS SYST,Municipal Owned,MS,13,5,7,9,6,10,15,24,23,9,7
58,972,"CLIFTON GAS DEPT, CITY OF",Municipal Owned,TN,0,0,0,0,0,10,11,3,5,4,0
59,976,"BURKESVILLE GAS CO, INC.",Privately Owned,KY,0,2,8,4,1,3,1,1,0,4,2
60,980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,Investor Owned,VA,1,1,0,7,3,2,1,13,5,3,8
61,986,HARTLEY MUNICIPAL UTILITIES,Municipal Owned,IA,0,0,0,3,0,1,0,0,0,1,0
62,1048,"BAINBRIDGE GAS DEPT, CITY OF",Municipal Owned,GA,10,11,5,3,2,3,7,0,3,5,4
63,1056,BAINBRIDGE MUNICIPAL GAS,Municipal Owned,IN,0,4,2,3,4,3,0,0,1,1,1
64,1064,BAKER UTILITY SYSTEM,Municipal Owned,LA,69,35,36,49,38,54,30,31,18,10,28
65,1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF",Municipal Owned,LA,0,0,0,8,16,0,9,10,26,18,0
66,1088,BALTIMORE GAS AND ELECTRIC COMPANY,Investor Owned,MD,5934,6049,6492,7260,7571,7837,9653,8226,8269,8609,7761
67,1096,BAMBERG BOARD OF PUBLIC WORKS,Municipal Owned,SC,8,12,6,14,20,86,45,1,6,7,4
68,1120,"BARDWELL GAS SYSTEM, CITY OF",Municipal Owned,KY,2,2,0,0,2,3,2,1,1,0,0
69,1128,BARLOW NATURAL GAS SYSTEM,Municipal Owned,KY,2,0,2,1,1,2,2,1,1,0,2
70,1134,BARROW UTILITIES & ELECTRIC CORP,Cooperative,AK,3,13,8,19,16,20,10,13,13,11,4
71,1136,"BASILE, TOWN OF",Municipal Owned,LA,0,6,0,0,7,2,2,5,0,2,6
72,1152,"BATESVILLE GAS DEPT, CITY OF",Municipal Owned,MS,3,2,1,0,0,0,0,5,2,8,6
73,1160,BATESVILLE GAS UTILITY,Municipal Owned,IN,5,9,7,2,4,5,5,15,8,18,12
74,1168,BATH ELECTRIC GAS & WATER SYSTEMS,Municipal Owned,NY,11,22,13,18,28,14,35,26,21,19,32
75,1184,BAY CITY MUNICIPAL GAS SYSTEM,Municipal Owned,TX,33,73,49,113,57,84,61,88,59,68,84
76,1192,NORTH BALDWIN UTILITIES,Municipal Owned,AL,4,0,0,0,18,28,37,40,27,29,21
77,1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF",Municipal Owned,MS,68,21,12,12,0,0,0,4,1,2,2
78,1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",Municipal Owned,MS,7,12,8,8,1,3,5,10,8,6,8
79,1224,"BEAUMONT MUNICIPAL GAS, TOWN OF",Municipal Owned,MS,3,7,5,8,5,1,2,3,3,7,5
80,1232,BEDFORD NATURAL GAS SYSTEM,Municipal Owned,IA,0,0,0,3,0,0,0,0,0,0,0
81,1256,BELLE RIVE GAS CO,Municipal Owned,IL,11,3,0,3,2,1,4,0,0,1,1
82,1272,"BELLVILLE, CITY OF",Municipal Owned,TX,0,0,8,4,6,6,7,3,1,6,28
83,1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF",Municipal Owned,MS,13,17,15,13,12,17,12,9,15,5,11
84,1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",Municipal Owned,SC,29,20,43,27,26,24,18,8,12,20,22
85,1312,CITY OF BENSON,Municipal Owned,AZ,8,12,3,3,2,6,8,7,5,1,2
86,1328,"BENTON GAS SYSTEM, CITY OF",Municipal Owned,KY,66,42,46,57,32,41,43,41,35,36,30
87,1336,BERGER CITY NATURAL GAS SYSTEM,Municipal Owned,MO,0,0,0,0,0,0,0,0,0,0,0
88,1344,BERKSHIRE GAS CO,Investor Owned,MA,220,224,206,254,271,394,361,363,306,239,191
89,1360,"BERNIE MUNICIPAL SYSTEM, CITY OF",Municipal Owned,MO,1,0,3,2,2,3,0,0,0,2,2
90,1376,"BERWICK, TOWN OF",Municipal Owned,LA,15,8,24,3,5,29,8,23,10,9,5
91,1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",Municipal Owned,NC,15,25,14,16,9,22,12,15,23,17,14
92,1392,BETHANY MUNICIPAL GAS SYSTEM,Municipal Owned,IL,16,0,0,6,3,0,0,0,0,4,5
93,1400,BETHANY MUNICIPAL GAS SYSTEM,Municipal Owned,MO,38,0,18,4,5,5,0,0,0,0,4
94,1408,"BIG LAKE GAS DEPT, CITY OF",Municipal Owned,TX,16,17,18,8,3,4,5,7,7,6,8
95,1448,"BILLINGS GAS CO, TOWN OF",Municipal Owned,OK,8,6,0,0,0,0,10,12,0,1,12
96,1456,"BISMARCK GAS SYSTEM, CITY OF",Municipal Owned,MO,6,6,2,4,0,0,1,1,2,19,13
97,1504,BLACKSTONE GAS CO,Privately Owned,MA,14,1,2,15,19,27,31,33,32,20,21
98,1520,"BLAKELY GAS DEPT, CITY OF",Municipal Owned,GA,9,3,4,0,0,0,0,1,0,0,0
99,1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF",Municipal Owned,IA,16,8,0,18,19,3,7,14,0,5,3
100,1544,"BLOUNTSTOWN, CITY OF",Municipal Owned,FL,0,0,0,21,19,5,8,3,11,3,2
101,1560,CARDINAL NATURAL GAS COMPANY,Investor Owned,WV,97,58,58,49,39,65,163,107,67,98,103
102,1568,BLUFORD MUNICIPAL GAS SYSTEM,Municipal Owned,IL,6,2,3,6,3,0,0,0,1,1,0
103,1584,BOAZ GAS BOARD,Municipal Owned,AL,8,1,9,2,3,30,20,9,38,29,42
104,1592,"BOERNE UTILITY, CITY OF",Municipal Owned,TX,10,4,8,6,6,11,16,9,9,13,15
105,1616,BOLIVAR GAS DEPT,Municipal Owned,TN,10,12,16,20,19,10,14,14,18,11,6
106,1622,"BOOKER GAS CO, CITY OF",Municipal Owned,TX,7,7,4,0,0,1,1,1,0,0,5
107,1624,BOONEVILLE MUNICIPAL GAS SYSTEM,Municipal Owned,MS,86,44,13,7,21,1,13,31,19,26,37
108,1632,BOONVILLE NATURAL GAS CORP,Privately Owned,IN,20,19,7,2,9,8,23,74,50,23,19
109,1640,BOSTON GAS CO,Investor Owned,MA,8773,8747,6609,6658,7567,8074,7077,9760,6379,8767,9136
110,1672,"BOWMAN GAS SYSTEM, CITY OF",Municipal Owned,GA,0,4,0,0,0,3,0,2,1,7,8
111,1680,"BOYCE MUNICIPAL SYSTEM, TOWN OF",Municipal Owned,LA,0,0,0,4,2,2,2,4,9,6,8
