Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WV,377581,26741,29142,13045,41485,38849,35242,45630,54674,50504,37228,5041
Statewide Total,,Cooperative,WV,696,662,0,0,0,0,0,0,0,0,34,0
Statewide Total,,Privately Owned,WV,237486,26077,16331,7879,25498,25343,16458,26811,31570,33320,24100,4099
Statewide Total,,Investor Owned,WV,139399,2,12811,5166,15987,13506,18784,18819,23104,17184,13094,942
Statewide Total,,Municipal Owned,WV,0,0,0,0,0,0,0,0,0,0,0,0
BAZZLE GAS COMPANY,39780,Privately Owned,WV,61,0,0,0,0,0,0,0,0,0,61,0
CANAAN VALLEY GAS CO,31808,Privately Owned,WV,1186,0,0,0,0,0,0,50,377,589,151,19
THOMPSON GAS INC,31807,Privately Owned,WV,792,0,0,0,0,0,0,0,0,478,193,121
"ENMARK ENERGY, INC",30666,Privately Owned,WV,5,0,0,0,0,0,0,0,0,0,5,0
WELCH GAS COOP,22350,Cooperative,WV,696,662,0,0,0,0,0,0,0,0,34,0
UNION OIL & GAS INC,20120,Privately Owned,WV,6542,0,0,0,290,635,1003,1246,1799,811,704,54
STANDARD GAS CO,18600,Privately Owned,WV,431,0,149,21,43,10,46,36,82,44,0,0
PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,WV,14945,2,3548,113,117,345,2452,2456,2969,1660,1147,136
MOUNTAINEER GAS CO,12878,Privately Owned,WV,218050,25587,14620,7773,24675,23021,14388,22823,28096,30709,22453,3905
DOMINION ENERGY WEST VIRGINIA,7348,Investor Owned,WV,113508,0,8931,4179,15410,12586,15514,14455,17546,13616,10685,586
CONSUMERS GAS UTILITY CO,2736,Privately Owned,WV,10419,490,1562,85,490,1677,1021,2656,1216,689,533,0
CARDINAL NATURAL GAS COMPANY,1560,Investor Owned,WV,10946,0,332,874,460,575,818,1908,2589,1908,1262,220
