Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,KS,972587,32499,6352,7254,15650,41904,78533,106222,305163,187764,171851,19395
Statewide Total,,Cooperative,KS,40440,20,0,2182,5069,9835,8467,3603,4853,2183,4050,178
Statewide Total,,Privately Owned,KS,1813,1473,0,0,0,0,18,88,36,33,144,21
Statewide Total,,Investor Owned,KS,893333,25180,6338,4761,8104,27740,66137,98377,293487,178357,165817,19035
Statewide Total,,Municipal Owned,KS,37001,5826,14,311,2477,4329,3911,4154,6787,7191,1840,161
CITY OF CONCORDIA,39044,Municipal Owned,KS,2,0,0,0,0,0,0,0,0,0,2,0
MID-CONTINENT MARKET CENTER,32363,Investor Owned,KS,120,120,0,0,0,0,0,0,0,0,0,0
"TEXAS KANSAS OKLAHOMA GAS, LLC",31981,Privately Owned,KS,141,0,0,0,0,0,0,0,0,0,122,19
"AMERICAN ENERGIES GAS SERVICE,  LLC",31911,Privately Owned,KS,199,0,0,0,0,0,18,88,36,33,22,2
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,KS,1430,1430,0,0,0,0,0,0,0,0,0,0
"HANSON ENGINEERING, L.C.",31539,Investor Owned,KS,678,0,0,0,0,0,33,0,295,72,264,14
CMF OF KANSAS LLC,31263,Privately Owned,KS,0,0,0,0,0,0,0,0,0,0,0,0
"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",31159,Investor Owned,KS,634059,0,6302,1261,4831,25964,57842,87396,167412,144646,127886,10519
DCP MIDSTREAM,31130,Privately Owned,KS,43,43,0,0,0,0,0,0,0,0,0,0
"ONEOK FIELD SERVICES COMPANY, L.L.C.",30629,Investor Owned,KS,132,129,0,0,0,0,0,0,0,0,3,0
HAVENSVILLE GAS,30557,Municipal Owned,KS,91,0,0,0,0,0,0,91,0,0,0,0
MORLAND CITY OF,30556,Municipal Owned,KS,142,0,0,0,0,0,0,0,131,0,11,0
"BELLEVILLE, CITY OF, MUNICIPAL GAS DEPT",30058,Municipal Owned,KS,1361,1230,0,0,0,0,0,0,86,35,8,2
WINONA GAS,30007,Municipal Owned,KS,183,0,0,0,0,0,0,0,182,1,0,0
"WINFIELD GAS DEPT, CITY OF",22725,Municipal Owned,KS,5006,0,0,0,0,0,26,188,2130,2533,126,3
"WETMORE GAS DEPT, CITY OF",22532,Municipal Owned,KS,169,0,0,0,0,169,0,0,0,0,0,0
"WALTON, CITY OF",22120,Municipal Owned,KS,135,0,0,0,0,115,0,20,0,0,0,0
"UNIONTOWN GAS DEPT, CITY OF",20180,Municipal Owned,KS,174,0,0,0,0,109,30,8,16,11,0,0
"SYLVIA MUNICIPAL GAS DEPT, CITY OF",18800,Municipal Owned,KS,173,0,0,0,168,0,0,0,1,4,0,0
"SPEARVILLE GAS SYSTEM, CITY OF",18572,Municipal Owned,KS,395,0,0,0,0,280,42,29,13,15,14,2
"SHARON GAS DEPT, CITY OF",18228,Municipal Owned,KS,134,0,0,0,0,0,0,134,0,0,0,0
"SAWYER GAS DEPT, CITY OF",18132,Municipal Owned,KS,132,0,0,0,0,126,0,0,0,1,4,1
"ROZEL MUNICIPAL GAS SYSTEM, CITY OF",17730,Municipal Owned,KS,123,0,0,0,0,120,0,0,1,2,0,0
"READING, CITY OF",17110,Municipal Owned,KS,120,0,0,0,0,117,0,0,0,0,2,1
