,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,IA,48173,48523,47101,53166,52967,52567,53074,56394,60186,61775
40,Units in Structure: 1 DETACHED,IA,986588,989797,999060,997109,1006162,997917,1016658,1031465,1029655,1024256
41,Units in Structure: 10-19,IA,48476,51832,50145,51623,53261,57104,53120,53936,52414,62432
42,Units in Structure: 2,IA,33154,32041,31965,33364,29904,34012,30920,31487,31829,31364
43,Units in Structure: 20-49,IA,44493,44064,45889,49973,45042,47926,48345,50852,51634,53875
44,Units in Structure: 3-4,IA,45087,48325,46913,43122,45164,48006,48610,45907,49075,45405
45,Units in Structure: 5-9,IA,51342,49192,50840,47961,52583,50836,53202,48117,49123,52720
46,Units in Structure: 50+,IA,24328,24571,22319,26254,27230,28832,24744,28647,32155,36833
47,"Units in Structure: Boat,RV,Van,Etc.",IA,369,403,79,482,385,258,418,470,574,841
48,Units in Structure: Mobile Home,IA,55553,51840,51400,46553,49336,51921,50996,50464,52923,49099
