,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",RI,23290,25369,25265,21727,22226,22733,24059,21960,21024,18403
8,"Household Income: $100,000 to $124,999",RI,31636,37994,37023,34117,35336,36742,41210,40499,44217,42954
9,"Household Income: $125,000 to $149,999",RI,19585,20748,21429,21363,22447,23669,25642,26792,25366,28689
10,"Household Income: $15,000 to $19,999",RI,22001,22508,20946,22209,19278,18779,16734,20684,18233,14167
11,"Household Income: $150,000 to $199,999",RI,19132,21863,21281,25606,21891,25147,25913,28002,29440,32977
12,"Household Income: $20,000 to $24,999",RI,22094,20893,20731,19081,20864,18949,19759,19771,16063,17155
13,"Household Income: $200,000 or more",RI,15605,16332,18801,19264,24069,22742,22133,27263,28606,30274
14,"Household Income: $25,000 to $29,999",RI,18331,18907,17850,20302,17608,17824,19046,16557,15711,14641
15,"Household Income: $30,000 to $34,999",RI,20601,19119,19876,18018,20867,18069,17225,16087,16487,16537
16,"Household Income: $35,000 to $39,999",RI,18069,17675,17109,16628,19395,18072,17184,16869,15664,16308
17,"Household Income: $40,000 to $44,999",RI,18665,19064,19408,17257,18312,16752,18697,15567,16304,13996
18,"Household Income: $45,000 to $49,999",RI,14129,15838,17264,16949,14283,14504,14313,12856,11939,12932
19,"Household Income: $50,000 to $59,999",RI,33016,31394,29847,29844,31436,28963,25511,26853,31954,26534
20,"Household Income: $60,000 to $74,999",RI,40437,40578,42232,39687,37529,38446,41106,40014,38585,41661
21,"Household Income: $75,000 to $99,999",RI,51647,50678,50388,53141,49905,53412,50094,53632,49257,57136
22,"Household Income: Less than $10,000",RI,34057,33299,33633,31173,34208,32681,29613,25342,27723,22810
23,Household Income: Total:,RI,402295,412259,413083,406366,409654,407484,408239,408748,406573,407174
24,Median Household Income,RI,52254.0,53636.0,54554.0,55902.0,54891.0,58073.0,60596.0,63870.0,64340.0,71169.0
