Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,AR,694019,149128,6651,18807,20455,33005,36130,87484,94246,138545,99218,10350
Statewide Total,,Cooperative,AR,79,0,0,0,0,0,0,0,0,0,79,0
Statewide Total,,Privately Owned,AR,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,AR,688657,147186,6651,18807,19845,31639,36017,87141,93958,138101,98963,10349
Statewide Total,,Municipal Owned,AR,5283,1942,0,0,610,1366,113,343,288,444,176,1
BLACK HILLS ENERGY,15359,Investor Owned,AR,187512,1061,3092,15348,11242,15349,18191,44580,20730,25957,26229,5733
NORTH CROSSETT GAS & WATER,13610,Municipal Owned,AR,767,0,0,0,0,500,100,100,60,7,0,0
LOGAN TOWNSHIP GAS USERS ASSOC INC,11652,Cooperative,AR,79,0,0,0,0,0,0,0,0,0,79,0
HAZEN NATURAL GAS CO,7190,Municipal Owned,AR,492,492,0,0,0,0,0,0,0,0,0,0
HARRISBURG WATER & GAS DIV,7095,Municipal Owned,AR,2205,1450,0,0,0,0,0,0,191,412,152,0
DEVALLS BLUFF GAS SYSTEM,3339,Municipal Owned,AR,172,0,0,0,0,0,0,159,0,6,7,0
DES ARC MUNICIPAL GAS CO,3330,Municipal Owned,AR,705,0,0,0,610,0,13,9,37,19,17,0
"AUGUSTA LIGHT WATER & GAS, CITY OF",873,Municipal Owned,AR,942,0,0,0,0,866,0,75,0,0,0,1
ARKANSAS OKLAHOMA GAS CORP,621,Investor Owned,AR,54293,0,0,1,3515,8182,6999,7878,12622,7835,6493,768
CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,AR,446852,146125,3559,3458,5088,8108,10827,34683,60606,104309,66241,3848
