,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,PA,48670.96699999998,29.29032258064516,13534,1517.0,3793.0,999.0,3940.0,6860.0,4949.0,6248.0,7658.0,6379.0,5742.0,581.0
1,Statewide Total,,Cooperative,PA,310.71,25.5,23,115.0,20.0,4.0,9.0,5.0,7.0,14.0,26.0,65.0,38.0,3.0
2,Statewide Total,,Privately Owned,PA,289.388,21.583333333333332,14,21.0,3.0,0.0,3.0,7.0,17.0,38.0,54.0,49.0,87.0,5.0
3,Statewide Total,,Investor Owned,PA,44942.589,33.733333333333334,12255,1379.0,2787.0,815.0,3429.0,6486.0,4751.0,5985.0,7441.0,6076.0,5263.0,524.0
4,Statewide Total,,Municipal Owned,PA,3128.28,46.0,1242,0.0,981.0,179.0,498.0,360.0,173.0,209.0,135.0,188.0,353.0,47.0
5,LEATHERSTOCKING GAS COMPANY,39218,Privately Owned,PA,17.92,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,0.0
6,"LEATHERSTOCKING PIPELINE, LLC",39217,Privately Owned,PA,0.128,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.0
7,PENN VALLEY GAS INC,32660,Privately Owned,PA,13.53,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.53
8,SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,PA,4.34,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,2.14,0.05
9,"KEYSTONE COOPERATIVE ASSOCIATION, INC.",32324,Cooperative,PA,57.4,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,14.83,1.07
10,"GRANGER ENERGY  OF HONEY BROOK, LLC",32136,Privately Owned,PA,12.79,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.79,0.0,0.0
11,"SAR GAS, INC.",32122,Privately Owned,PA,8.0,29.0,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0
12,"KNOX ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",32086,Cooperative,PA,253.31,38.0,23,115.81,20.6,4.0,9.0,5.9,7.0,14.41,26.92,23.74,23.19,2.74
13,AMERIGAS PROPANE LP,32013,Privately Owned,PA,3.96,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.78,0.0
14,SIGEL GAS,30069,Investor Owned,PA,29.82,16.0,0,10.52,0.0,0.0,0.0,0.0,0.0,0.0,7.5,6.0,5.51,0.29
15,WALLY GAS CO INC,22091,Privately Owned,PA,8.0,33.0,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0
16,"VALLEY ENERGY, INC.",21030,Investor Owned,PA,154.637,31.0,28,0.0,0.0,0.0,15.974,9.562,19.142,21.099,45.867,18.305,19.397,5.289
17,"UGI UTILITIES, INC",20010,Investor Owned,PA,2.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
18,"UGI UTILITIES, INC",20010,Investor Owned,PA,12074.0,36.0,2749,189.0,780.0,77.0,688.0,1739.0,1126.0,1630.0,2412.0,1907.0,1427.0,99.0
19,"UGI UTILITIES, INC",20010,Investor Owned,PA,9.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
20,HERMAN RIEMER GAS CO,17405,Privately Owned,PA,37.27,19.0,0,10.53,0.0,0.0,0.0,0.0,1.25,3.01,9.25,5.14,7.6,0.49
21,PIKE COUNTY LIGHT & POWER CO,15540,Investor Owned,PA,19.85,52.0,7,0.1,4.5,0.1,5.28,2.17,0.1,1.8,0.2,3.2,1.74,0.59
22,PEOPLES GAS COMPANY LLC,15476,Investor Owned,PA,2690.527,43.0,743,1.007,353.4,52.817,128.415,452.357,377.581,320.66,361.328,347.25,275.211,20.5
23,PHILADELPHIA GAS WORKS,15469,Municipal Owned,PA,3045.42,59.0,1214,0.0,978.28,178.87,487.22,344.07,172.27,207.72,127.73,173.09,334.85,41.32
24,PECO ENERGY CO,15462,Investor Owned,PA,6937.4,39.0,2024,0.0,421.0,119.0,503.7,1174.3,721.6,1044.2,1403.0,883.6,615.4,51.8
25,PEOPLES NATURAL GAS COMPANY LLC,15350,Investor Owned,PA,10379.675,41.0,3506,719.569,535.497,354.263,1005.28,1598.094,1300.281,1149.046,1377.765,1316.452,879.235,144.192
26,PAPCO INC,15132,Privately Owned,PA,6.25,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0
27,NORTH EAST HEAT & LIGHT CO,13620,Privately Owned,PA,56.21,35.0,9,0.0,3.84,0.53,3.79,2.83,9.8,7.0,12.63,7.97,7.39,0.4
28,NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,PA,68.258,60.0,25,0.0,19.777,3.076,9.564,9.055,5.57,12.796,3.044,3.707,1.669,0.0
29,NATIONAL FUEL GAS DISTRIBUTION CORP,13061,Investor Owned,PA,4850.282,40.0,1258,97.612,350.033,87.551,371.801,607.571,696.63,821.637,805.976,495.503,472.38,43.586
30,HERMAN OIL & GAS CO INC,7242,Privately Owned,PA,69.33,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.85,3.0,38.88,2.6
31,ELIZABETHTOWN GAS CO,4350,Investor Owned,PA,3.4,62.0,3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0
32,COLUMBIA GAS OF PENNSYLVANIA,2600,Investor Owned,PA,7696.4,33.0,1912,358.0,323.0,122.0,698.3,894.4,504.5,984.5,1023.8,1083.5,1544.9,159.5
33,CHARTIERS NATURAL GAS CO INC,2272,Investor Owned,PA,23.0,6.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
34,CHAMBERSBURG GAS DEPT,2236,Municipal Owned,PA,82.86,33.0,28,0.0,3.68,0.78,10.86,16.05,1.72,2.07,7.57,14.94,18.76,6.42
35,ANDREASSI GAS COMPANY,504,Privately Owned,PA,56.0,22.0,3,11.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,14.0,13.0,0.0
