,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",DE,15596,14752,14879,13713,12731,11772,12893,15113,14567,13603
8,"Household Income: $100,000 to $124,999",DE,29036,32519,33774,28307,31261,31945,32836,31982,35909,35948
9,"Household Income: $125,000 to $149,999",DE,18109,17894,17412,18525,20736,18796,22554,20333,21962,28073
10,"Household Income: $15,000 to $19,999",DE,15972,15994,14838,16188,14353,14735,12843,12419,12155,12283
11,"Household Income: $150,000 to $199,999",DE,16198,16654,16605,19799,21823,22193,19635,25921,24090,31851
12,"Household Income: $20,000 to $24,999",DE,17189,14597,17981,14610,15255,18128,16476,15207,18515,14267
13,"Household Income: $200,000 or more",DE,11775,15387,14393,16496,18192,18197,19585,24378,24297,27746
14,"Household Income: $25,000 to $29,999",DE,14531,15471,16384,16745,15140,14881,14993,14389,17266,13046
15,"Household Income: $30,000 to $34,999",DE,16919,15417,16415,17223,17807,17395,18790,18798,17000,14091
16,"Household Income: $35,000 to $39,999",DE,15130,14769,14270,14605,17947,17887,16634,14436,13796,14243
17,"Household Income: $40,000 to $44,999",DE,16548,16728,19094,15549,15604,15329,14516,13327,14614,14762
18,"Household Income: $45,000 to $49,999",DE,14039,15186,12024,15875,15760,13379,15046,13692,13958,15879
19,"Household Income: $50,000 to $59,999",DE,29257,27661,29101,28797,27657,29418,26974,25865,27049,27317
20,"Household Income: $60,000 to $74,999",DE,35215,34812,36771,38167,37183,36908,37988,38165,39991,41589
21,"Household Income: $75,000 to $99,999",DE,43486,46551,47116,43554,44989,52486,48649,48224,50462,51204
22,"Household Income: Less than $10,000",DE,19765,18800,19251,20918,23305,19146,20673,25688,22040,20337
23,Household Income: Total:,DE,328765,333192,340308,339071,349743,352595,351085,357937,367671,376239
24,Median Household Income,DE,55847.0,58814.0,58415.0,57846.0,59716.0,61255.0,61757.0,62852.0,64805.0,70176.0
